#tail	head	KSP index	path cost
MAPK9	H2AFX	75	1.00000e+00
H2AFX	KAT2A	75	1.00000e+00
KAT2A	SMAD7	75	1.00000e+00
MAPK9	BAZ1B	76	1.00000e+00
BAZ1B	H2AFX	76	1.00000e+00
PPP1CC	CREB1	85	1.00000e+00
CREB1	FST	85	1.00000e+00
FST	INHBA	85	1.00000e+00
INHBA	BAMBI	85	1.00000e+00
BAMBI	DVL2	85	1.00000e+00
SMAD7	SMURF1	90	1.00000e+00
KAT2A	SMURF1	95	1.00000e+00
H2AFX	MDC1	109	1.00000e+00
MDC1	RNF8	109	1.00000e+00
RNF8	UBE2N	109	1.00000e+00
UBE2N	TRAF2	109	1.00000e+00
TRAF2	MAP3K1	109	1.00000e+00
TRAF2	MAP3K5	110	1.00000e+00
TRAF2	DAB2IP	111	1.00000e+00
TRAF2	MAP4K2	119	1.00000e+00
TRAF2	MTOR	120	1.00000e+00
MTOR	MAF1	120	1.00000e+00
TRAF2	BIRC3	121	1.00000e+00
BIRC3	RIPK2	121	1.00000e+00
RIPK2	MAPK8	121	1.00000e+00
MTOR	RPS6KA2	122	1.00000e+00
RPS6KA2	NFATC4	122	1.00000e+00
RPS6KA2	NFKBIA	123	1.00000e+00
RPS6KA2	CREB1	124	1.00000e+00
MTOR	ULK1	138	1.00000e+00
ULK1	PRKAA1	138	1.00000e+00
PRKAA1	HDAC4	138	1.00000e+00
ULK1	GABARAP	139	1.00000e+00
GABARAP	DVL2	139	1.00000e+00
ULK1	BECN1	140	1.00000e+00
BECN1	HMGB1	140	1.00000e+00
HMGB1	TLR4	140	1.00000e+00
TLR4	MYD88	140	1.00000e+00
TLR4	TICAM1	141	1.00000e+00
TICAM1	IKBKE	141	1.00000e+00
IKBKE	NFKBIA	141	1.00000e+00
IKBKE	RELA	142	1.00000e+00
RELA	HDAC4	142	1.00000e+00
IKBKE	FOXO3	143	1.00000e+00
FOXO3	PINK1	143	1.00000e+00
PINK1	HTRA2	143	1.00000e+00
HTRA2	BIRC3	143	1.00000e+00
HDAC4	MEF2D	144	1.00000e+00
RELA	NFKB1	145	1.00000e+00
RELA	NFKBIA	146	1.00000e+00
RELA	NFKBIB	147	1.00000e+00
RELA	NR3C1	148	1.00000e+00
NR3C1	NR2F2	148	1.00000e+00
NR2F2	NR2F1	148	1.00000e+00
NR2F2	RXRB	149	1.00000e+00
RXRB	NR2F1	149	1.00000e+00
NR2F2	THRA	150	1.00000e+00
THRA	RXRB	150	1.00000e+00
THRA	RARB	151	1.00000e+00
RARB	RXRB	151	1.00000e+00
THRA	RARG	152	1.00000e+00
RARG	RXRB	152	1.00000e+00
NR3C1	NR4A1	153	1.00000e+00
NR4A1	NR2F2	153	1.00000e+00
RELA	SP1	158	1.00000e+00
SP1	BBC3	158	1.00000e+00
SP1	HDAC4	159	1.00000e+00
SP1	IL10	161	1.00000e+00
IL10	NFKB1	161	1.00000e+00
SP1	NOS3	162	1.00000e+00
SP1	IER3	163	1.00000e+00
IER3	PPP2R5C	163	1.00000e+00
PPP2R5C	MAPK3	163	1.00000e+00
PPP2R5C	CAMK4	164	1.00000e+00
PPP2R5C	ATF1	165	1.00000e+00
ATF1	IL10	165	1.00000e+00
ATF1	SH3RF1	166	1.00000e+00
SH3RF1	MAP2K4	166	1.00000e+00
SH3RF1	MAP3K12	167	1.00000e+00
MAP3K12	MAP2K4	167	1.00000e+00
MAP3K12	MYL12A	168	1.00000e+00
SH3RF1	MAPK8	169	1.00000e+00
SH3RF1	MAPK8IP1	170	1.00000e+00
CAMK4	NOS1	172	1.00000e+00
NOS1	NFKBIA	172	1.00000e+00
CAMK4	CREB1	173	1.00000e+00
PPP2R5C	CREB1	187	1.00000e+00
SP1	LAT	201	1.00000e+00
LAT	VAV1	201	1.00000e+00
VAV1	PRKCQ	201	1.00000e+00
PRKCQ	NOS3	201	1.00000e+00
PRKCQ	RASGRP3	202	1.00000e+00
RASGRP3	NRAS	202	1.00000e+00
TICAM1	TRAF6	203	1.00000e+00
TRAF6	MAP3K5	203	1.00000e+00
TRAF6	MAPK8	207	1.00000e+00
TRAF6	MYB	208	1.00000e+00
TRAF6	NFKBIA	209	1.00000e+00
TLR4	TICAM2	210	1.00000e+00
TICAM2	MYD88	210	1.00000e+00
TICAM2	TICAM1	211	1.00000e+00
TICAM2	TRAF6	280	1.00000e+00
TLR4	TIRAP	287	1.00000e+00
TIRAP	MYD88	287	1.00000e+00
TIRAP	TRAF6	288	1.00000e+00
PRKAA1	KPNA2	309	1.00000e+00
KPNA2	IRF1	309	1.00000e+00
IRF1	NOS2	309	1.00000e+00
PRKAA1	NOS3	310	1.00000e+00
PRKAA1	PRKAB1	311	1.00000e+00
PRKAB1	NOS3	311	1.00000e+00
PRKAA1	FOXO3	312	1.00000e+00
PINK1	BECN1	313	1.00000e+00
PRKAA1	PPARGC1A	466	1.00000e+00
PPARGC1A	FOXO3	466	1.00000e+00
