Source	Target	Interaction
DIABLO	BIRC2	+
DIABLO	BIRC5	-
DIABLO	BIRC6	-
DIABLO	XIAP	+
DLC1	BCL2L11	-
DNAJB1	HSF1	+
DUSP1	FANCI	-
DUSP1	MAPK1	+
DUSP1	MAPK10	-
DUSP1	MAPK14	+
DUSP1	MAPK3	+
DUSP1	MAPK9	-
DUSP3	EGFR	-
DUSP3	ERBB2	-
DUSP3	MAPK1	+
DUSP3	MAPK14	+
DUSP3	MAPK3	-
DUSP3	MAPK9	-
DVL1	APC	-
DVL1	AXIN1	-
DVL1	CTNNB1	+
DVL1	DAAM1	+
DVL1	F2R	+
DVL1	GSK3B	-
DVL1	JUN	+
DVL1	LRP6	+
DVL1	RAC1	+
DVL1	ROCK1	+
DVL1	SMAD3	+
DVL2	AXIN1	+
DVL2	LRP6	+
DVL2	PARD6A	+
DYNLL1	AMBRA1	-
DYNLL1	BCL2L11	-
DYRK1B	CCND1	-
DYRK1B	HNF1A	+
E2F4	CDK1	-
E2F4	CDT1	+
E2F4	CLSPN	-
E2F4	MYBL2	-
EFNA1	EPHA6	+
EGR1	CDKN1A	+
EGR1	DUSP1	+
EGR1	DUSP4	+
EGR1	EGFR	+
EGR1	FASLG	+
EGR1	IGF2	+
EGR1	TOPBP1	+
EIF2AK2	CDK1	-
EIF4E	SMAD3	+
EIF4E	SMAD4	+
EIF4EBP2	EIF4E	-
EIF4EBP3	EIF4E	+
ELAVL1	BRCA1	-
ELAVL1	CCND1	+
ELAVL1	CDKN1A	+
ELAVL1	CSF1R	+
ELAVL1	CXCL8	+
ELAVL1	DUSP1	+
ELAVL1	ERBB2	+
ELAVL1	FOS	+
ELAVL1	IL13	+
EPOR	TRPC3	+
ERBB4	BAK1	+
ERBB4	CBFA2T3	-
ERBB4	ESR1	+
ERBB4	GRB2	+
ERBB4	MDM2	+
ERBB4	PIK3CA	+
ERBB4	SHC3	+
ERBB4	STAT5A	+
F2R	GNA12	+
F2R	GNA13	+
F2R	GNAI1	+
FANCD2	FAN1	+
FANCI	FANCL	+
FANCL	FANCD2	+
FAS	CASP8	+
FAS	CASP8AP2	+
FAS	DAXX	+
FAS	FADD	+
FAS	MAP3K5	+
FAS	RIPK1	+
FN1	ITGB1	+
FOXO3	ATM	+
FOXO3	BCL2L11	+
FOXO3	CDKN1B	+
FOXO3	FASLG	+
FOXO3	GADD45A	+
FOXO3	PINK1	+
FRS2	GRAP	+
FST	INHBA	-
FUS	BCL2	-
FUS	BCL2L1	-
FUS	BCL2L11	+
GAB1	ARHGAP32	+
GAB2	ARHGAP32	+
GABARAP	DVL2	-
GABARAPL2	SQSTM1	+
GDF15	ERBB2	+
GDNF	RET	+
GNA12	ARHGEF1	+
GNA12	RHOA	+
GNAI3	TRPC5	+
GNRHR	CTNNB1	+
GNRHR	GNA11	+
GNRHR	GNAI1	+
GNRHR	GNAS	+
GNRHR	MMP14	+
GNRHR	MMP9	-
GNRHR	TIMP2	+
GRAP	PIK3CG	+
GRB10	ABL1	+
GRB10	IGF1R	-
GRB10	INSR	-
GRB10	NEDD4	+
GRB10	PIK3CA	+
GRB7	RND1	+
GRIN2A	PLCG1	+
GRK2	CCR5	+
GRK2	OPRD1	-
GRK2	OPRM1	+
GSK3A	CAMKK2	-
GSK3A	MAFA	+
H2AFX	KAT2A	+
H2AFX	MDC1	+
H2AFX	TP53BP1	+
HBP1	MYC	-
HDAC4	CDKN1A	+
HDAC4	MEF2A	-
HDAC4	MEF2C	-
HDAC4	MEF2D	-
HDAC4	RUNX2	-
HDAC5	MEF2A	-
HDAC5	MEF2C	-
HDAC5	MEF2D	-
HDAC5	RUNX2	-
HERC2	RNF168	+
HIF1A	EGLN1	+
HIST1H2AM	RNF168	+
HMGB1	TLR4	+
HSPB1	AKT1	+
HSPB1	AR	+
HSPB1	NFKBIA	-
HSPB1	PRKCD	-
HSPB1	SP1	+
HSPB1	UBE2N	+
HTRA2	BIRC2	-
HTRA2	BIRC3	-
HTRA2	PEA15	-
HTRA2	XIAP	-
ICAM1	ITGAL	+
IER3	PPP2R5C	-
IFNAR1	IFNGR1	+
IFNAR1	JAK1	+
IFNAR1	STAT1	+
IFNAR1	TYK2	+
IFNB1	IFNAR1	+
IFNB1	JAK1	+
IFNB1	TYK2	+
IFNGR1	JAK1	+
IFNGR1	JAK2	+
IFNGR1	STAT1	+
IGF2	IGF1R	+
IGF2	INSR	+
IKBKE	ESR1	+
IKBKE	FOXO3	-
IKBKE	IRF3	+
IKBKE	RELA	+
IL10	IL10RA	+
IL10	NFKB1	-
IL10RA	JAK1	+
IL10RA	JAK2	+
IL10RA	STAT3	+
IL13	IL13RA1	+
IL13	IL4R	+
IL13RA1	JAK2	+
IL4R	JAK1	+
ILF3	DUSP1	+
INHBA	ACVR1B	+
INHBA	ACVR2A	+
INHBA	ACVR2B	+
INHBA	BAMBI	+
INSL5	RXFP4	+
INSR	CBL	+
INSR	GAB1	+
INSR	GRB7	+
INSR	IRS1	+
INSR	PTPN1	-
INSR	PTPN6	+
IQGAP1	MAPK1	+
IRF1	BRIP1	+
IRF1	CASP8	+
IRF1	IRF8	+
IRF1	NOS2	+
IRF1	PCNA	+
IRF1	TNFSF10	+
IRF3	CCL5	+
IRF3	IFNB1	+
IRF3	TBK1	+
IRF7	IFNB1	+
IRS1	GRAP	+
IRS1	GRB2	+
IRS1	IRS4	+
IRS1	JAK2	+
IRS1	NCK1	+
IRS1	PIK3CB	+
IRS1	PIK3CG	+
IRS4	GRAP	+
IRS4	GRB2	+
IRS4	PIK3CG	+
ITCH	CFLAR	-
ITCH	GLI1	-
ITCH	NOTCH1	+
ITCH	SMAD2	+
ITCH	SMAD7	+
ITCH	TNFAIP3	+
ITCH	TNIP2	-
ITCH	TP73	+
ITGAM	ICAM1	+
KAT2A	SMAD2	+
KAT2A	SMAD3	+
KAT2A	SMAD7	+
KAT2A	SMURF1	-
KAT2A	SOCS1	+
KPNA2	CHEK2	+
KPNA2	IRF1	+
LAT	GRB2	+
LAT	PIK3CA	+
LAT	PIK3R1	+
LAT	PLCG1	+
