Source	Target	Interaction
TNFRSF1A	MAP3K7	+
TNFRSF1A	NFKBIA	-
TNFRSF1A	TRAF2	+
TNIP2	NFKB1	-
TOPBP1	ATR	+
TP53INP1	GABARAP	+
TP53INP1	GABARAPL2	+
TP53INP1	MAP1LC3A	+
TP53INP1	MAP1LC3B	+
TP53INP1	MAP1LC3C	+
TP73	BBC3	+
TP73	CASP6	+
TP73	FAS	+
TP73	TP53INP1	+
TP73	UVRAG	-
TRADD	CASP8	+
TRADD	FADD	+
TRADD	TNFRSF1A	+
TRADD	TRAF2	+
TRAF2	BIRC2	+
TRAF2	BIRC3	+
TRAF2	CASP8	+
TRAF2	DAB2IP	+
TRAF2	IKBKB	+
TRAF2	MAP3K1	+
TRAF2	MAP3K5	+
TRAF2	MAP3K7	+
TRAF2	MAP4K2	+
TRAF2	MTOR	+
TRAF2	RIPK1	+
TRAF2	UBE2N	+
TRAF6	IKBKB	+
TRAF6	IKBKG	-
TRAF6	IRAK1	+
TRAF6	MALT1	+
TRAF6	MAP3K14	+
TRAF6	MAP3K5	+
TRAF6	MAP3K7	+
TRAF6	MYB	-
TRAF6	TAB1	+
TRAF6	TAB2	+
TRAF6	TAB3	+
TRAF6	TNFRSF11A	+
TRAF6	UBE2N	+
TRIM27	PIK3C2B	-
TRIM28	BAX	-
TRIM28	BBC3	-
TRIM28	CDKN1A	+
TRIM28	GADD45A	-
TRIM28	MDM2	+
TRIM28	PMAIP1	-
TRIM28	SETDB1	+
TRIM28	STAT1	+
TRIM28	STAT3	-
TRIM28	TBL1XR1	+
TRPC1	TRPV6	-
TRPC3	TRPC1	+
TRPC5	TRPC1	+
TRPV4	PKD2	+
TRPV4	TRPC1	+
TUBB	SMAD3	-
TUBB	TRPC1	+
TYK2	DUSP3	+
TYRO3	PIK3R1	+
UBE2N	H2AFX	+
UBE2N	MAP3K7	-
UBE2N	PCNA	+
UBE2N	TRAF2	+
UBE2N	TRAF6	+
UBE2N	UBE2V1	+
UBE2V1	TRAF6	+
ULK1	AMBRA1	+
ULK1	ATG13	+
ULK1	DAPK3	+
ULK1	DYNLL1	-
ULK1	GABARAP	+
ULK1	PRKAA1	-
ULK1	PRKAA2	-
ULK1	RB1CC1	+
ULK2	ATG13	+
ULK2	PRKAA2	-
ULK2	PRKAB1	-
ULK2	RB1CC1	+
UVRAG	SH3GLB1	+
VAV1	CBL	+
VAV1	GRB2	+
VAV1	PRKCQ	+
VAV2	CDC42	+
VAV2	EGFR	+
WNT4	FZD3	+
WWTR1	DVL1	-
WWTR1	SMAD3	+
XPC	DDB1	+
XPC	SMARCA4	+
YWHAZ	PRKCZ	+
ZAP70	GAB2	+
ZAP70	LAT	+
ZAP70	LCP2	+
ZAP70	VAV2	+
AKT	Apoptosis	-
ASXL1	Proliferation	-
BCL2	Apoptosis	-
BCOR	Proliferation	-
CDKN2A	Proliferation	-
CDKN2B	Proliferation	-
CREB1	Apoptosis	-
LEF1	Apoptosis	-
MAPK1	Apoptosis	-
MAPK3	Apoptosis	-
MEIS1	Apoptosis	-
NFKB1	Apoptosis	-
PIK3CA	Apoptosis	-
PIM	Apoptosis	-
RB1	Proliferation	-
RELA	Apoptosis	-
RIF1	Proliferation	-
TET2	Proliferation	-
TP53	Proliferation	-
WT1	Proliferation	-
WWTR1	Apoptosis	-
YAP1	Apoptosis	-
AP1	Proliferation	+
BAD	Apoptosis	+
BAK1	Apoptosis	+
BAX	Apoptosis	+
CCNA1	Proliferation	+
CCND1	Proliferation	+
CDK2	Proliferation	+
CTNNB1	Proliferation	+
E2F1	Proliferation	+
ELK1	Proliferation	+
FOXO1	Apoptosis	+
FOXO3	Apoptosis	+
HHEX	Proliferation	+
JUN	Proliferation	+
LEF1	Proliferation	+
MAPK1	Proliferation	+
MAPK3	Proliferation	+
MEIS1	Proliferation	+
MTOR	Proliferation	+
MYC	Proliferation	+
NQO1	Proliferation	+
STAT3	Proliferation	+
STAT5A	Proliferation	+
TP53	Apoptosis	+
UBTF	Proliferation	+
WWTR1	Proliferation	+
YAP1	Proliferation	+
