Source	Target	Relation
MYD88	FADD	+
ITGAV	CRK	+
ACTN4	SPTAN1	0
PSMD2	CDC27	+
SRC	BCAR1	+
RUVBL1	NCL	+
CD19	VAV2	+
DEPDC6	PRR5	0
UBQLN1	CKS1B	+
DVL1	CDC42	+
CREBBP	GADD45A	+
HSPB1	CDC23	+
IL18RAP	IL18R1	0
GRIK1	GCC1	0
SAA1	IL8	+
CHUK	IRF7	+
LAMA5	ITGB6	+
GAB1	SHC2	0
GLI1	PTCH1	+
CEP152	YWHAG	0
CLASP1	CEP290	0
PAPOLA	REL	0
FRK	RUVBL1	+
NR5A1	AR	0
LIMK1	LIMK1	+
PRNP	CASP3	+
JUNB	CBFB	+
POLR2I	GTF2F2	0
SUZ12	H3F3B	-
AKT1	ADI1	+
SRC	EZR	0
IFNA1	LBR	+
SNRPD3	SNRPG	0
CEP152	TUBG1	0
GLI1	MTSS1	0
CSNK1G1	SRXN1	+
PTGS2	RBM39	+
TNFRSF10B	MAP3K1	+
EIF4EBP3	EIF4E	+
FRA8B	NOS2	+
RPL7A	RPL19	0
RPL3	RPLP2	0
RELA	FAT1	-
GNAI1	CD4	-
YWHAG	YWHAQ	+
SOCS4	IL28RA	-
INS	PRKCI	+
MMP7	MMP2	+
CYP1A1	AHR	-
CBX5	SMAD4	-
FLNA	ITGB2	0
RALGDS	RRAS2	+
ARAF	MTA1	+
NR3C1	RETN	-
CXCL12	CCR9	+
PPP2R5D	CTNNB1	-
RALBP1	CDC42	-
SMARCA4	SMARCD1	0
ITGB1	ACTN4	0
CAPN3	FLNC	+
NCF2	DUOX2	+
GEMIN5	GEMIN7	0
EPS15L1	EPS15	+
LIFR	JAK3	+
KRT18	PIAS2	0
NF1	TAF1	+
CACNA1G	PPM1A	0
MYH10	LOC646821	0
PIAS4	SAP30	0
PTK2B	KCNIP1	+
PSME3	PSMB8	0
STAT1	CXCL10	+
SP3	ITGB5	+
XPA	ERCC2	+
CBLC	ERBB4	-
NFKB1	TNFAIP3	+
POLR2G	GTF2H1	0
PYCARD	AIM2	0
POLR2H	POLR3D	0
PPARA	ACADM	+
DOK1	HCK	0
CCNB1	WEE1	+
EPHA3	HCLS1	+
FLT4	INPP5J	+
BCR	CBLB	+
PSMB6	BTRC	+
GNAO1	GNB1	0
IL1R2	CASP3	+
HCK	PDGFD	+
SHC2	IL2RA	0
TNXB	ITGA2	+
CASP3	LAMA2	+
AVP	AVPR1B	+
RRAGC	MTOR	-
PEBP1	NFKBIA	-
ERBB2	PDCD4	+
E2F1	RB1	+
RBL2	TFDP1	0
RPS13	EIF3A	0
PDGFRA	SHC2	+
NUP35	CPSF2	+
C17orf70	FANCG	+
CFB	ADRBK1	+
RNF41	BIRC6	-
MAPK13	MEF2A	+
UBE3A	PSMD6	0
PRKACB	RAP1B	+
EPHA8	FYN	0
RPL37	RPS14	0
HIPK1	MDM4	+
GH1	CISH	+
MAPK3	PRKCD	0
SMAD4	CREBBP	+
CD3D	HLA-A	0
PSMD12	RAD23B	0
UBC	UBB	0
IQGAP1	SEPT2	-
ITGA7	PARVA	0
INHBB	ACVR2B	+
STAT6	SELP	+
ITGA4	PARVA	0
MPG	TFF1	-
PSMD3	PSMC5	0
TBX21	STAT4	-
RPS6KB1	RICTOR	+
CCL3L1	CCR4	+
RPS16	RPS17	0
PPP2R2A	PRKCI	-
CD4	CD80	+
GDF2	ACVR2A	0
ROCK1	MYH2	+
CDKN1A	PRB3	-
SUMO1	UBE2L3	+
RAC1	FES	+
NR3C1	MMP1	-
VAV3	PIK3CD	0
RPS14	RPS23	0
VEGFC	FLT1	+
PAFAH1B1	AKAP9	0
CDC42	PAK1	+
PCNT	SFI1	0
PTK2	PLCG1	+
LCK	SHC2	+
PLCG2	PLA2G3	+
COL17A1	PLEC	0
ACTN2	MAGI1	0
UBB	RPS19	0
LAMB4	ITGA11	+
GSK3A	SERPINB2	+
CRADD	FADD	0
TRIP12	SLC10A2	0
ADRBK1	F2R	+
PTPN6	IFNAR1	-
TUBB4	PLCB1	+
VAV3	PLCG1	0
CLDN7	CLDN17	0
PRKAA2	MTOR	-
LEP	PRKAB2	+
SOCS5	IL3RA	-
CALM1	CAMK4	0
LAT	MAP4K1	0
FZD10	LRP5	0
ERBB4	SH3GL1	0
IRF5	CCL3	+
NUP205	KPNB1	+
HERPUD1	MMP9	+
FLII	PKD1	-
ABI1	ARPC4	+
BRAF	SFN	+
JAK2	IL13RA1	0
PAK6	ARHGEF6	+
DHH	PTCH2	0
MAP3K7IP1	TRADD	0
FOS	GSTA2	+
GAB2	STAT5B	+
RB1	MXI1	-
PRKCI	PARD6B	0
MYLK2	MAPK8	+
GNGT1	PIK3CB	+
FAS	MAP2K6	+
FGF8	FGFR3	0
SRC	PIK3CD	+
TSGA14	OFD1	0
EDN1	PLCB3	0
ELK1	ELK4	0
FAIM3	FAF1	-
EPHB3	EPHB3	+
HSPA1A	TNF	+
RAC3	PAK7	+
LRP6	CTNNB1	-
BARD1	RBBP8	0
ITGB6	PPP2CA	0
CCL24	CCR8	+
GNB5	GNA15	0
ZBTB17	CCL5	-
LAMA4	ITGB8	+
PPARA	DBI	+
F8	F10	+
HERPUD2	MMRN1	+
MCF2	RAC1	+
PXN	CAPN1	0
CBLC	FYN	-
U2AF1	SNRPE	+
IL4	ANPEP	+
EGLN1	EPAS1	+
DLL3	NOTCH1	+
IKBKB	IRS2	-
FBXW11	KDR	-
PIAS3	EP300	0
SFRS2	SNRPN	+
KHDRBS1	CBL	0
NCSTN	ZNF274	-
CSE	NFE2L2	+
PPP2R5C	BAD	+
HNRNPU	GTF2H1	-
ITGA9	ITGB7	0
RPLP2	RPS29	0
PSMD8	TRIP12	0
SNRPB	SNRPG	0
RPLP1	RPS14	0
LCK	SGMS1	+
FGF13	FGFR1	0
TP53	UBE2A	0
THPO	FPR1	+
HECTD3	CUL7	0
DFFB	HMGB1	+
PDGFB	KDR	+
TGFB1	CYP7A1	-
IL6R	GAB2	+
MYLK	ITGA9	+
BMP2	MEF2A	+
EFNB2	SHC1	0
AMFR	SOD1	-
FANCE	HES1	0
NUP85	RBM8A	+
LCK	TRAPPC9	+
CSNK1G3	PER1	-
RPS18	RPS20	0
KSR1	YWHAQ	+
GRIN1	RYR2	0
PSMD13	PSMB5	0
ITGA6	PARVA	0
MSN	PTK2	0
FRK	CBL	+
PIK3R1	CCND3	+
PRL	NFKB1	+
PROC	F8	-
CALCA	ACHE	+
ANAPC11	ANAPC1	+
STK17A	LAS1L	+
NR3C1	TBX21	-
GNAI3	NRAS	+
DAXX	MAP2K6	+
STAT5B	CCNB1	+
DYRK1B	MAPK1	+
PSMB8	CDC26	+
TRIB3	NEUROD1	+
RUVBL1	TERT	+
POLR2H	GTF2H4	0
ERCC2	LOC100290337	+
MYL9	TRIM32	0
DKK3	GDEP	+
RPL39	RPS29	0
SSH3	CFL1	-
LIMK2	CRK	+
PRKACA	FIP1L1	+
SORBS2	CBL	0
CNR1	CACNA1S	+
EFNB3	GRB2	0
STK11	PRKAB1	+
LOC100291837	RPS13	0
KIT	MPDZ	0
GSK3B	MAPT	-
RBBP4	GLI1	-
EFNB3	RRAS	-
FEN1	PPIA	+
RPL10L	RPL3	0
EDN1	GNAL	0
CCL4L2	CCR3	+
ADAM10	NOTCH1	+
U2AF2	SNRNP70	+
YES1	GSN	+
IL1B	SELE	+
TAF1	MDM2	+
PPP5C	ATM	-
IL7	IL2RG	+
CCL20	CXCR1	+
RRAS	PIK3R3	+
SH3BP2	CD4	0
ODF2	CEP110	0
PIK3CD	TXK	+
TNFSF11	TNFRSF11A	+
ACTN1	TLN1	0
JUN	JUN	+
IL1RAP	PIK3R1	0
TNR	ITGA2B	+
INS	SOS1	+
SOCS1	TNF	-
ITPR1	CALML3	0
CAMK1	GAPDH	+
EIF2S3	RPS5	0
PPP1CC	CFL1	+
MAPK3	RPS6KA6	+
PHKB	PYGL	+
WNT11	FZD3	0
RDBP	POLR2D	0
FHL2	ITGA9	0
GNA12	S1PR4	0
POMP	PSMB4	0
CDKN2A	TCEAL1	+
PSMA5	ANAPC1	+
RPL6	RPS29	0
RPL39L	RPL23A	0
CBLC	OSMR	-
COL1A2	GP6	+
IL1A	PIK3CD	+
MYC	CCNE1	+
JAK3	PIK3CA	0
RPL30	RPS19	0
WNT16	FZD1	+
CSF3	GAB2	+
HBA2	RPS3A	0
XIAP	DIABLO	0
FLNC	MAP2K4	0
MTDH	NFKB1	+
PLA2G6	PLAA	+
PAAF1	CKS1B	+
FOS	STAT3	0
NPPA	HTR3A	-
PIAS4	SOCS1	-
IFNAR2	TERT	-
MAP2K1	FOS	+
IL11RA	JAK3	+
NDRG2	ALCAM	+
PAK1	PRIM2	+
ELAVL1	EIF4E	+
RUVBL2	NCL	+
PAK1	WDR45B	+
RPL10L	RPS3A	0
CSNK1D	ODF2	0
BLNK	NCK1	0
NRIP1	FABP1	+
REN	ATP6AP2	+
CHKA	ANKRD6	0
TNF	ABCG2	+
SLC4A1	GYPA	+
CASP8	TRADD	0
SMAD3	SOX9	+
GNGT1	SLC9A3R1	0
ABI2	ACTR3	+
CTNNB1	NEUROG1	+
FOS	UGT1A6	+
CREBBP	TCF3	0
RPL38	FXR2	0
CAMK2B	STMN1	+
YWHAZ	RPA1	-
RPS6	RPL14	0
MTA1	BCAS3	+
STAT6	CCND2	+
VRK1	TOX	+
LCK	PRKCE	+
CAMKK1	CAMK2B	+
GNA13	CDH1	+
PSMD1	RAD23B	0
MCM2	MCM3	0
CXCL2	CXCR2	+
ACVR1B	ACVR2B	0
DYRK3	CSRP3	+
PDGFA	TNFRSF11B	+
RAP1GAP	TERF2IP	-
NLK	NLK	+
LBR	FCER2	+
CARM1	KLK3	+
CSNK1G1	CASKIN1	0
FGF20	FGFR1	+
RXRB	EHHADH	+
MYB	TRD@	+
YY1	CDC6	+
PSMB6	ANAPC11	+
CXCL12	LCK	+
DUSP6	MAPK12	-
HDAC1	SNAI3	-
EDN1	IK	+
VRK3	OLIG3	+
HUS1	ATR	+
MS4A2	GRB2	+
GRB2	MTOR	+
PSMA7	CDK2	+
FCER1A	NFATC2	+
GRB2	ADAM12	0
MAP3K7	RAP1A	+
LRP6	CREBBP	+
SORT1	CASP6	+
PRKCH	CTTN	+
NFIB	LZTS1	+
DVL1	WASL	0
VEGFA	SPHK1	+
C19orf40	FANCD2	+
GRK5	TACR1	+
PSMD13	UBE2D1	+
RPS6	RPS17	0
FGF22	PLCG1	+
CDK5	CRY1	+
TYK2	STAT2	+
FGFR4	BMX	+
CDC42	MAP3K1	+
MAPK11	SP1	+
MDM2	FGFR2	-
LOC652799	STAT5B	+
PSMC6	PSMD5	0
GTF2H1	POLR2H	+
PTP4A3	RAC1	-
TICAM1	IRF3	+
CTSL1	CST3	+
PRKCQ	BCAR1	+
PLG	HRG	0
PLK1	BRCA2	-
INTS3	NCOR1	0
IL27	STAT2	+
ELK1	CCND1	+
POLR3A	POLR3D	0
GTF2H2	POLR2B	0
MLL	GTF2A2	+
IL4	SHC1	+
MAPKAPK2	ARPC5	+
FADD	TRADD	0
JAK2	PLCG1	+
RPL30	RPLP2	0
HECTD3	ANAPC1	0
TNC	ITGB5	+
CCNT1	POLR2L	+
PGR	PRKACG	0
CLCA1	MUC3A	+
SDCCAG8	AKAP9	0
FOXA1	APOB	+
NKIRAS2	NFKBIB	0
IFNG	CYP2E1	-
PTPN6	PIK3R1	0
TGFB1	PTEN	+
PSMB2	PSMB5	0
GABARAP	ATG7	+
NPB	NPBWR1	+
RPLP0	RPS10	0
FKBP1A	MTOR	-
IRF3	CD40	+
PRKCZ	NFATC2	+
IFNA14	IFNG	+
LAMC3	YWHAH	0
SPDYA	CDK1	+
E2F1	GSPT1	+
XRN1	LSM2	+
POLR2A	CTDP1	+
NUAK1	PPP2R1B	+
RPL38	RPS4X	0
PAAF1	PSMD10	0
TH1L	POLR2E	0
IFNG	STAT1	+
PRKD1	PTPN6	+
RBPJ	SKP2	+
EFNB1	EPHB3	0
PIK3CA	CCND3	+
PSMC3	ANAPC5	+
GNAQ	GNG2	0
CD5	CD79B	0
LMO7	ACTN1	0
EIF2AK2	PRKCD	+
MBD2	HDAC9	0
GHRH	SST	-
CDK4	BCL3	+
CSF1	VEGFA	+
RPS13	RPS15A	0
MAPK8IP3	MAP2K7	0
GAB1	HRAS	+
CSNK2A1	ASAP3	+
BAG1	LGALS7	-
CRK	PXN	+
SRC	FGF2	-
HUS1	RPA2	0
GNG13	PREX1	+
KHDRBS1	CREBBP	-
RPS10	UBB	0
NUPL2	KPNA1	+
RXRA	ACOX2	+
TGFB1	GATA4	+
EPO	INHBA	+
CTNND1	HGF	-
NEK6	MFN1	+
CDKN1A	TFDP1	-
GNB1	PIK3R2	+
MYD88	TNF	+
CEP63	PCNT	0
PDGFRA	KRAS	+
CP110	SFI1	0
CCND2	E2F3	-
STK11	PRKAG3	+
COL4A3BP	COL4A3BP	+
IKBKB	TRAF1	0
PSMA7	UBR1	0
NTF3	MBP	+
IL12A	TYK2	0
LAMA2	RAC1	+
FCER1A	IGHE	0
KNG1	CTSG	-
SPI1	LYZ	+
CBLB	CSF1R	-
ERBB3	ERBB3	0
PRPF4B	MYRF	+
CRK	FRS2	0
LAMA3	DAG1	+
PSMB8	PSMD11	0
ACTIN	EZR	0
TRIP12	UBE3C	0
RPL35	RPL30	0
NCAPD3	NCAPD2	0
F3	ANXA2	+
SLC10A2	RAD23B	0
DUSP18	ITGB1	+
HSPA4	HSP90AA1	0
COL6A1	ITGA11	+
IL2RA	TNFRSF4	+
AKT1	CHFR	+
ARRB1	PIK3CA	+
PSMB11	PSMB2	0
CEP72	CEP70	0
RAC1	MMP2	+
GRK4	GNGT1	+
KDELR2	CLTB	0
HERC2	CDC16	0
PLCG2	PRKCG	+
IFNA5	PSME2	+
MAP3K14	RELB	-
IFNG	PIK3CG	+
EP300	NFKB1	0
CRYAB	CASP3	+
RPL26	RPLP2	0
CALML6	PPP3R2	+
FLNC	ITGB1	0
HBA1	HBA2	0
SAP18	SMAD2	-
CDKN1A	STAT3	-
ZZEF1	BUB1B	0
FGFR4	PIK3CA	+
BLK	FCGR2B	+
SOS1	MAP2K2	+
SMARCC2	GTF2A1	+
FGFR2	SH3GL3	0
RPL7	RPL29	0
ACVR2B	EGFR	+
CRKL	DOCK2	+
TP73	AEN	+
RPL7A	RPL41	0
DMD	CDC42	+
COL5A3	ITGB5	+
ITGA6	THY1	0
PSMD8	BTRC	+
ELP2	STAT3	-
SMARCA4	E2F1	-
FGFR2	FGF20	0
ADM	MRGPRX2	+
ERBB2	ERBB2	+
PSME2	PAAF1	0
PSMC3	SNCA	-
SNRPA1	SNRPB2	0
ABL1	CRK	+
TJP3	OCLN	0
PLK1	UBE2C	+
HDAC3	HIST2H2AC	+
COL5A2	ITGB6	+
RPL10L	RPL7	0
SHFM1	SLC10A2	0
SLC4A1	PTPN11	0
JAK2	LCK	+
RBBP7	SMAD2	-
CEP250	CP110	0
SNRPG	SNRPD1	0
CDON	SHH	0
JAK3	STAT5B	+
CDKN1A	AKT2	0
ARHGAP26	PTK2	0
MYCBP2	HECTD3	0
RPS4X	RPS24	0
PLCG2	CAMK2A	0
MAPK13	STAT1	+
GRB2	KRT17	0
AKT1	PPP1R13L	+
ARRB1	FZD1	+
RASGRP1	CACNG5	0
CSNK2A1	CSNK2A1	+
EP300	MUC2	+
MEF2D	MEF2A	+
PRKCE	PTPN6	+
RAD23B	SLC10A2	0
CTBP1	TCF3	0
CD3E	ITK	+
VCL	PXN	0
UBC	EIF3A	0
PPARG	SCD5	+
MYLPF	MYH13	0
ILK	PIK3CG	0
WDR77	AR	+
SFRP1	FZD2	-
POLR2B	FDXR	+
DYRK2	C13orf15	+
EIF1AX	EIF2S2	+
CD247	PRKAR2B	+
CRH	GAL	+
ARHGEF2	RAC1	+
TP63	HES1	-
IL2RB	STAM	0
CCNT2	POLR2F	+
CLSPN	CEP164	0
