GLI2	UGCG
IRF7	IFNA2
NFKB1	TRAF2
RELA	TRAF2
HNF1A	FGL1
ATF4	DDIT4
NFKB1	NOS3
ATF2	NOS3
KLF2	NOS3
SP1	NOS3
RELA	NOS3
SP3	NOS3
GATA4	NOS3
MYC	DDX18
SPI1	CTSS
MYC	HMGN2
ESR1	NQO1
NFE2L2	NQO1
JUN	NQO1
E2F1	KIR3DL1
STAT3	IL21
MYC	RPL32
CREB1	PLAT
ATF2	PLAT
JUN	PLAT
CREB1	BDNF
CREB1	MUC4
CREB1	IL10
CREB1	UXT
CREB1	IL2
CREB1	MITF
CREB1	NOLC1
CREB1	CYP19A1
CREB1	BCL2
CREB1	PTGS2
CREB1	SLC20A1
CREB1	ETV3
CREB1	HMOX1
CREB1	IFNG
CREB1	CDK11A
CREB1	PPP2CA
CREB1	PSEN1
CREB1	CD4
CREB1	IL6
CREB1	PCSK1
CREB1	MUC5AC
CREB1	JUN
ASCL1	PCSK6
HES1	ASCL1
REST	BDNF
ATF1	IL10
ATF1	MAP1LC3B
ATF1	SLC20A1
ATF1	CFTR
ATF1	TGFB2
ATF1	CCNA1
ATF1	PCSK1
SREBF1	CETP
SP1	CETP
YY1	CETP
DNMT1	TIMP3
DNMT1	MSH2
STAT5A	PRF1
STAT1	PRF1
STAT3	PRF1
STAT5B	PRF1
STAT4	PRF1
ESR1	OXT
TP53	CHEK2
SALL4	ZEB1
SALL4	ABCA3
NFKB1	THBD
KLF4	THBD
RARA	THBD
KLF2	THBD
SP1	THBD
RELA	THBD
STAT1	MUC4
E2F1	MUC4
STAT3	MUC4
ETV4	MUC4
NFKB1	IL10
STAT1	IL10
VDR	IL10
MSC	IL10
SP1	IL10
STAT3	IL10
CTCF	MRPL17
ETS1	RAD51
TP53	RAD51
E2F1	RAD51
E2F4	RAD51
EGR1	IL2
EGR1	PTP4A1
EGR1	COL2A1
EGR1	FN1
EGR1	EAPP
EGR1	TMPO
EGR1	PTEN
EGR1	LDLR
EGR1	CD44
EGR1	PDGFB
EGR1	PTGS2
EGR1	VEGFA
EGR1	PTGES
EGR1	IL3
EGR1	SOD1
EGR1	CHGA
EGR1	EGFR
EGR1	IGF2
EGR1	ACE
EGR1	SLC9A3
EGR1	CAT
EGR1	CD19
EGR1	TNF
EGR1	UBE2S
EGR1	APOA1
EGR1	FAS
EGR1	HYAL1
EGR1	BCAR1
EGR1	NAB2
EGR1	ABCB1
EGR1	STIM1
EGR1	FCER2
EGR1	GDF15
EGR1	LMTK2
EGR1	EP300
EGR1	CYP2B6
EGR1	PLAUR
EGR1	CCND1
EGR1	PCSK2
EGR1	RBL2
EGR1	IL6
EGR1	SYN1
EGR1	WNT4
EGR1	ALOX5
EGR1	FGF2
EGR1	PDGFC
EGR1	TCF4
EGR1	LHB
EGR1	PLAU
EGR1	HSD11B2
EGR1	CDK5R1
SPI1	CLEC4G
E2F1	MCPH1
MYC	SRSF1
MYC	UXT
NFKB1	CSF1
STAT1	CSF1
RELA	CSF1
MYC	RPL23
MITF	ACP5
SPI1	ACP5
CTCF	C1R
EPAS1	FLT1
EPAS1	VEGFA
RELA	EPAS1
YY1	EPAS1
EPAS1	CA9
EPAS1	SERPINE1
SREBF1	ACLY
SREBF1	LDLR
SREBF1	NPC1
SREBF1	SCD
SREBF1	ACACA
SREBF1	FDPS
SREBF1	NR0B2
SREBF1	PCYT2
SREBF1	SLC2A4
SREBF1	IRS2
NR1H2	SREBF1
SREBF1	HMOX1
RXRA	SREBF1
SREBF1	HMGCS1
SP1	SREBF1
NR1H3	SREBF1
SREBF1	FDFT1
SREBF1	INSIG1
SREBF1	LRP1
SREBF1	HMGCR
SREBF1	SQLE
SREBF1	SCD5
SREBF1	PIK3R3
SREBF2	PON1
E2F1	KIF23
ZEB2	MEOX2
MAF	IL4
CEBPB	IL4
POU2F1	IL4
TBX21	IL4
MYC	THBS1
SNAI1	THBS1
USF2	THBS1
TP53	THBS1
E2F1	THBS1
WT1	THBS1
FOXO3	GALT
CTCF	GALT
NFE2L2	GSTA1
E2F4	TTK
ATF2	RB1
TP53	RB1
E2F1	RB1
SP1	RB1
CTCF	ABCA2
MYC	NME1
TP53	NME1
E2F1	SIAH1
FOXP2	CNTNAP2
FOXP2	PLAUR
FOXP2	MET
STAT1	PRKCE
SP1	PRKCE
FOSL2	CCR4
FOSL2	UGT2B15
FOSL2	MMP13
FOSL2	BCL6
FOSL2	FOSL1
