Source	Target	Sign	Network
CAMK2A	CHAT	+	SN
CAMK2A	RIMS1	+	SN
CAMK2A	GRIA1	+	SN
CAMK2A	RASGRF1	+	SN
CAMK2A	CACNA1B	+	SN
CAMK2A	GABBR1	-	SN
CAMK2A	RPH3A	+	SN
CAMK2A	SYNGAP1	-	SN
CAMK2A	DLG1	+	SN
CAMK2A	PEA15	+	SN
CAMK2A	CALD1	-	SN
CAMK2A	CD44	+	SN
CAMK2A	KCND2	+	SN
CAMK2A	ARHGAP32	-	SN
CAMK2A	ETS1	-	SN
CAMK2A	NOS1	+	SN
CAMK2A	PPP2R5C	-	SN
CAMK2A	TIAM1	+	SN
CAMK2A	MAPT	+	SN
CAMK2A	RCHY1	-	SN
CAMK2A	MAP2	+	SN
CAMK2A	SMAD2	-	SN
CAMK2A	PTK2	+	SN
CAMK2A	NCOR2	-	SN
CAMK2A	CREB1	+	SN
CAMK2A	RYR2	+	SN
CAMK2A	OPRM1	-	SN
CAMK2A	STX3	-	SN
CAMK2A	EGFR	+	SN
CAMK2A	STMN1	+	SN
CAMK2A	RYR1	+	SN
CAMK2A	SYN1	-	SN
CAMK2A	SYT1	+	SN
CAMK2A	ATP2A2	+	SN
CAMK2B	STAT1	+	SN
CAMK2B	GSK3A	-	SN
CAMK2B	CYLD	+	SN
CAMK2B	CTNNB1	-	SN
CAMK2G	NCOR2	-	SN
CAMK2G	STAT1	+	SN
CAMK2G	EGFR	-	SN
CAMK4	CREM	+	SN
CAMK4	CREBBP	+	SN
CAMKK2	PRKAG1	+	SN
CAMKK2	AKT1	+	SN
CAND1	CUL1	-	SN
CAPN1	ITGB3	-	SN
CAPN1	GRIA1	-	SN
CAPN1	CABIN1	-	SN
CAPN1	SPTBN2	-	SN
CAPN1	GRIN2A	-	SN
CAPN1	CDK5R1	+	SN
CAPN1	OGG1	-	SN
CAPN1	GSK3B	+	SN
CAPN1	ATG5	+	SN
CAPN1	MAPT	-	SN
CAPN1	MAP2	-	SN
CAPN1	GSK3A	+	SN
CAPN1	BID	+	SN
CAPN1	BCL2L1	-	SN
CAPN1	BCL2	-	SN
CAPN2	CDK5R1	+	SN
CAPN2	GSK3B	+	SN
CAPN2	ATG5	+	SN
CAPN2	MAPT	-	SN
CAPN2	GSK3A	+	SN
CAPN2	BID	+	SN
CAPN2	BCL2L1	-	SN
CAPN2	BCL2	-	SN
CAPN3	GSK3B	+	SN
CAPN3	GSK3A	+	SN
CAPNS1	CAPN2	+	SN
CARD11	MALT1	+	SN
CARD11	BCL10	+	SN
CARD17	CASP5	-	SN
CARD18	CASP5	-	SN
CARD8	CASP9	-	SN
CARD8	APAF1	-	SN
CARD9	MAPK8	+	SN
CARM1	CTNNB1	+	SN
CASP1	IL33	+	SN
CASP1	CASP7	+	SN
CASP1	CASP5	-	SN
CASP1	CASP3	+	SN
CASP1	ALDOA	-	SN
CASP10	RIPK1	-	SN
CASP10	MAP3K14	+	SN
CASP10	CASP7	+	SN
CASP10	CASP3	+	SN
CASP10	BID	+	SN
CASP12	CASP9	+	SN
CASP12	CASP7	+	SN
CASP2	DIABLO	+	SN
CASP2	RIPK1	+	SN
CASP2	GOLGA3	-	SN
CASP2	CASP8	+	SN
CASP2	AIFM1	+	SN
CASP2	CYCS	+	SN
CASP2	TRAF2	+	SN
CASP2	BID	+	SN
CASP3	PIP5K1A	+	SN
CASP3	GAS2	+	SN
CASP3	PIP4K2A	-	SN
CASP3	MEF2B	-	SN
CASP3	PROKR1	-	SN
CASP3	PTBP1	+	SN
CASP3	PTCH1	-	SN
CASP3	IKBKB	-	SN
CASP3	PRKDC	+	SN
CASP3	PPP2R5C	-	SN
CASP3	EIF4B	+	SN
CASP3	PAK2	+	SN
CASP3	TP73	+	SN
CASP3	VIM	+	SN
CASP3	ATG4D	+	SN
CASP3	RELA	-	SN
CASP3	BIRC2	-	SN
CASP3	EIF2S3	-	SN
CASP3	CASP6	+	SN
CASP3	EIF2S2	-	SN
CASP3	BCAR1	+	SN
CASP3	EIF4G1	+	SN
CASP3	PSIP1	-	SN
CASP3	EIF4G2	+	SN
CASP3	CASP10	+	SN
CASP3	STK3	+	SN
CASP3	NFKBIA	+	SN
CASP3	CASP8	+	SN
CASP3	PXN	-	SN
CASP3	DFFB	+	SN
CASP3	MCL1	-	SN
CASP3	GORASP1	-	SN
CASP3	EIF4EBP1	-	SN
CASP3	EIF2A	-	SN
CASP3	EIF4G3	+	SN
CASP3	STK4	+	SN
CASP3	PTK2	-	SN
CASP3	NUMA1	+	SN
CASP3	GSN	+	SN
CASP3	EIF3J	-	SN
CASP3	CASP9	+	SN
CASP3	BIRC6	-	SN
CASP3	CASP7	+	SN
CASP3	ROCK1	+	SN
CASP3	DFFA	+	SN
CASP3	RB1	-	SN
CASP3	ACIN1	+	SN
CASP3	RAD51	+	SN
CASP3	ITGB4	+	SN
CASP3	CDKN1A	+	SN
CASP3	CTNNB1	+	SN
CASP3	SPTAN1	+	SN
CASP3	CASP2	+	SN
CASP3	BCL2	-	SN
CASP3	BAD	+	SN
CASP3	XIAP	-	SN
CASP3	AKT1	-	SN
CASP3	PARP1	-	SN
CASP5	IL18	+	SN
CASP5	IL1B	+	SN
CASP6	HIPK2	+	SN
CASP6	LMNA	+	SN
CASP6	CASP8	+	SN
CASP6	CASP3	+	SN
CASP7	MEF2B	-	SN
CASP7	PROKR1	-	SN
CASP7	TNFRSF1A	+	SN
CASP7	VIM	+	SN
CASP7	DFFA	+	SN
CASP7	ITGB4	+	SN
CASP7	PARP1	-	SN
CASP8	PROKR1	-	SN
CASP8	DEDD	+	SN
CASP8	HDAC7	+	SN
CASP8	TRAF1	+	SN
CASP8	TP73	+	SN
CASP8	RIPK1	-	SN
CASP8	CASP6	+	SN
CASP8	CASP10	+	SN
CASP8	CYCS	+	SN
CASP8	APP	+	SN
CASP8	CASP9	+	SN
CASP8	MAP3K14	+	SN
CASP8	CASP8AP2	+	SN
CASP8	CASP7	+	SN
CASP8	CASP3	+	SN
CASP8	BID	+	SN
CASP8AP2	NFKB1	+	SN
CASP8AP2	CASP8	+	SN
CASP9	VIM	+	SN
CASP9	CASP6	+	SN
CASP9	BIRC6	-	SN
CASP9	CASP7	+	SN
CASP9	CASP3	+	SN
CAST	CAPN2	-	SN
CAST	CAPN1	-	SN
CAV1	PDGFRB	+	SN
CAV1	PDGFRA	+	SN
CAV1	EGFR	+	SN
CBFA2T3	ZNF652	-	SN
CBL	CFLAR	-	SN
CBL	SORBS2	-	SN
CBL	SYK	-	SN
CBL	PIK3R1	-	SN
CBL	PDGFRA	+	SN
CBL	MET	+	SN
CBL	ERBB2	-	SN
CBL	EGFR	+	SN
CBLB	SRC	-	SN
CBLB	SHC1	-	SN
CBLB	PIK3R1	+	SN
CBLB	PIK3CA	-	SN
CBLB	LCK	-	SN
CBLB	GRB2	+	SN
CBLB	FYN	-	SN
CBLB	EGFR	+	SN
CBLB	CRK	-	SN
CBX4	ZEB2	-	SN
CBY1	CTNNB1	+	SN
CCKAR	GNAQ	+	SN
CCNC	NOTCH1	-	SN
CCND1	RBL1	-	SN
CCND1	STAT3	-	SN
CCND1	RBL2	-	SN
CCND1	CDK4	+	SN
CCND1	ESR1	+	SN
CCND1	HDAC3	+	SN
CCND1	CDKN1B	-	SN
CCND1	HDAC2	+	SN
CCND1	CDK6	+	SN
CCND1	RB1	-	SN
CCND2	RB1	+	SN
CCND2	CDK6	+	SN
CCND2	CDK4	+	SN
CCND3	CDK6	+	SN
CCND3	CDK4	+	SN
CCNE1	CDK2	+	SN
CCNH	CDK7	+	SN
CCR5	CXCR4	+	SN
CD14	TLR3	+	SN
CD28	GRB2	+	SN
CD40	TRAF3	+	SN
CD74	CXCR4	+	SN
CDC14A	TP53	-	SN
CDC14B	TP53	-	SN
CDC14B	APC	+	SN
CDC25A	RAF1	-	SN
CDC25A	MAPK3	-	SN
CDC25A	CDK4	+	SN
CDC25A	CDK2	+	SN
CDC25A	CDK1	+	SN
CDC25B	CDK1	+	SN
CDC25C	CDK1	+	SN
CDC34	NFKBIA	-	SN
CDC42	PTEN	+	SN
CDC42	PAK2	+	SN
CDC42	PAK1	+	SN
CDC42	MAP3K1	+	SN
CDC42	GSK3B	-	SN
CDC42BPA	LIMK1	+	SN
CDC7	PSIP1	+	SN
CDC73	CPSF3	+	SN
CDC73	MYC	+	SN
CDC73	CTNNB1	+	SN
CDCA3	WEE1	-	SN
CDCA4	E2F1	-	SN
CDH1	ITGAE	+	SN
CDH1	CTNNA1	+	SN
CDH1	ANAPC11	+	SN
CDH1	ARPC1B	+	SN
CDH1	LRP6	+	SN
CDH1	IGF1R	-	SN
CDK1	CKAP2	+	SN
CDK1	UBA1	+	SN
CDK1	NUSAP1	-	SN
CDK1	ZC3HC1	-	SN
CDK1	CUX1	-	SN
CDK1	FOXK2	+	SN
CDK1	IREB2	-	SN
CDK1	ERF	-	SN
CDK1	LBR	-	SN
CDK1	ERCC6L	+	SN
CDK1	APLP2	+	SN
CDK1	EPN1	+	SN
CDK1	NDE1	+	SN
CDK1	NUP50	-	SN
CDK1	PIK3C2A	-	SN
CDK1	SYN3	+	SN
CDK1	CDC16	+	SN
CDK1	CDC23	+	SN
CDK1	TK1	-	SN
CDK1	MPLKIP	+	SN
CDK1	CEP55	-	SN
CDK1	EEF1D	+	SN
CDK1	GOLGA2	+	SN
CDK1	ORC1	+	SN
CDK1	PITPNM1	+	SN
CDK1	KIF22	+	SN
CDK1	ANAPC1	+	SN
CDK1	EEF2K	-	SN
CDK1	PTHLH	-	SN
CDK1	RPS3	+	SN
CDK1	DDX3X	-	SN
CDK1	KHDRBS1	+	SN
CDK1	CDC27	+	SN
CDK1	NUP98	+	SN
CDK1	NSFL1C	-	SN
CDK1	SAMHD1	-	SN
CDK1	PLEC	-	SN
CDK1	RUNX2	+	SN
CDK1	FOXM1	+	SN
CDK1	CDC7	+	SN
CDK1	TSC1	+	SN
CDK1	PTTG1	+	SN
CDK1	UBE2A	+	SN
CDK1	MDM4	-	SN
CDK1	MCM3	+	SN
CDK1	RPS6KB1	+	SN
CDK1	SQSTM1	+	SN
CDK1	CSNK2B	+	SN
CDK1	TP73	+	SN
CDK1	HMGA1	-	SN
CDK1	PRC1	+	SN
CDK1	KIF2C	-	SN
CDK1	LIG1	+	SN
CDK1	KRT18	+	SN
CDK1	MCM4	-	SN
CDK1	KIF11	+	SN
CDK1	CSNK2A1	+	SN
CDK1	VIM	+	SN
CDK1	CCNB1	+	SN
CDK1	KAT7	+	SN
CDK1	PPP1CA	-	SN
CDK1	SP1	+	SN
CDK1	PIK3C3	-	SN
CDK1	NPM1	-	SN
CDK1	ECT2	+	SN
CDK1	BORA	-	SN
CDK1	RPA2	+	SN
CDK1	LATS1	+	SN
CDK1	MAP4	+	SN
CDK1	HMGA2	-	SN
CDK1	BUB1	+	SN
CDK1	E2F1	+	SN
CDK1	ABL1	+	SN
CDK1	MCL1	+	SN
CDK1	TP53	+	SN
CDK1	EZH2	-	SN
CDK1	EIF4EBP1	-	SN
CDK1	ESPL1	-	SN
CDK1	RRM2	+	SN
CDK1	CDC25C	+	SN
CDK1	KAT5	+	SN
CDK1	MAP3K5	-	SN
CDK1	NUMA1	-	SN
CDK1	PML	-	SN
CDK1	NFAT5	+	SN
CDK1	WEE1	+	SN
CDK1	MAPK6	+	SN
CDK1	RAD9A	+	SN
CDK1	ESCO1	-	SN
CDK1	SIRT1	+	SN
CDK1	KMT5A	-	SN
CDK1	FANCG	+	SN
CDK1	RANGAP1	+	SN
CDK1	FEN1	-	SN
CDK1	FOXO1	+	SN
CDK1	NCOA3	-	SN
CDK1	USP16	+	SN
CDK1	GFAP	+	SN
CDK1	MYOD1	-	SN
CDK1	MAP2K1	-	SN
CDK1	LMNA	+	SN
CDK1	CDC25B	+	SN
CDK1	NME1	+	SN
CDK1	RB1	+	SN
CDK1	SREBF1	+	SN
CDK1	DNMT1	+	SN
CDK1	PRDX1	-	SN
CDK1	KRT8	+	SN
CDK1	SIRT2	-	SN
CDK1	INCENP	+	SN
CDK1	FBXO5	+	SN
CDK1	CHEK1	+	SN
CDK1	NDEL1	+	SN
CDK1	CDC25A	+	SN
CDK1	EGFR	-	SN
CDK1	STMN1	+	SN
CDK1	STIM1	-	SN
CDK1	RUNX1	+	SN
CDK1	CASP9	-	SN
CDK1	CASP8	-	SN
CDK1	BUB1B	+	SN
CDK1	BRCA1	+	SN
CDK1	BCL2	-	SN
CDK1	AR	+	SN
CDK1	BIRC5	+	SN
CDK12	POLR2A	+	SN
CDK2	ARID4A	-	SN
CDK2	ZC3HC1	-	SN
CDK2	SF3B1	+	SN
CDK2	FOXK2	+	SN
CDK2	CROCC	-	SN
CDK2	TFCP2	-	SN
CDK2	CCDC6	+	SN
CDK2	HIRA	+	SN
CDK2	RRN3	+	SN
CDK2	PELP1	+	SN
CDK2	TK1	-	SN
CDK2	CDX2	+	SN
CDK2	ORC2	+	SN
CDK2	PTHLH	-	SN
CDK2	DLG1	+	SN
CDK2	GRK2	-	SN
CDK2	PRKAR1A	+	SN
CDK2	FOXM1	+	SN
CDK2	SMAD3	-	SN
CDK2	ID3	-	SN
CDK2	UBE2A	+	SN
CDK2	MCM3	+	SN
CDK2	TP73	-	SN
CDK2	HMGA1	-	SN
CDK2	RBL2	-	SN
CDK2	LIG1	+	SN
CDK2	MYBL2	+	SN
CDK2	MCM4	-	SN
CDK2	LIG3	-	SN
CDK2	PAK1	-	SN
CDK2	PPP1CA	-	SN
CDK2	CDK7	+	SN
CDK2	NPM1	-	SN
CDK2	CCNA2	+	SN
CDK2	TP53	+	SN
CDK2	EZH2	+	SN
CDK2	CDKN2D	+	SN
CDK2	CEBPB	+	SN
CDK2	NR1I2	-	SN
CDK2	CDC25C	+	SN
CDK2	RBBP8	+	SN
CDK2	WEE1	-	SN
CDK2	TP63	-	SN
CDK2	CDC6	+	SN
CDK2	ZBTB16	-	SN
CDK2	MCM2	+	SN
CDK2	ESR1	+	SN
CDK2	COIL	+	SN
CDK2	FOXO1	+	SN
CDK2	PGR	+	SN
CDK2	MYOD1	-	SN
CDK2	CDKN1B	+	SN
CDK2	MYC	+	SN
CDK2	FOXO4	-	SN
CDK2	NPAT	+	SN
CDK2	CCNE1	-	SN
CDK2	RB1	-	SN
CDK2	DNMT1	+	SN
CDK2	PRDX1	-	SN
CDK2	SIRT2	-	SN
CDK2	ATRIP	+	SN
CDK2	CDKN1A	-	SN
CDK2	CHEK1	+	SN
CDK2	CDC25A	+	SN
CDK2	ID2	-	SN
CDK2	RUNX1	+	SN
CDK2	BRCA1	+	SN
CDK20	CDK2	+	SN
CDK3	TFCP2	-	SN
CDK3	LIN9	+	SN
CDK3	JUN	+	SN
CDK3	RB1	+	SN
CDK3	ATF1	+	SN
CDK4	MEF2C	-	SN
CDK4	PELP1	+	SN
CDK4	MYOG	-	SN
CDK4	MEF2D	-	SN
CDK4	FOXM1	+	SN
CDK4	SMAD3	-	SN
CDK4	RBL1	+	SN
CDK4	RASSF1	-	SN
CDK4	RBL2	-	SN
CDK4	RUNX3	-	SN
CDK4	MEF2A	-	SN
CDK4	MYOD1	-	SN
CDK4	RB1	+	SN
CDK4	PRDX1	+	SN
CDK4	BRCA1	-	SN
CDK5	RASGRF2	+	SN
CDK5	PIP5K1C	-	SN
CDK5	STXBP2	-	SN
CDK5	DPYSL3	+	SN
CDK5	LMTK2	+	SN
CDK5	AGAP2	+	SN
CDK5	DAB1	+	SN
CDK5	EPRS	-	SN
CDK5	NEFH	+	SN
CDK5	AMPH	+	SN
CDK5	CORO1A	+	SN
CDK5	CDK5R1	-	SN
CDK5	NR3C1	+	SN
CDK5	HTRA2	+	SN
CDK5	PRKN	+	SN
CDK5	STAT3	+	SN
CDK5	TLN1	+	SN
CDK5	MAPT	+	SN
CDK5	PSEN1	+	SN
CDK5	PAK1	-	SN
CDK5	PPP1CA	-	SN
CDK5	PIK3C3	-	SN
CDK5	MEF2A	+	SN
CDK5	CAMKK2	-	SN
CDK5	CLOCK	+	SN
CDK5	PMAIP1	-	SN
CDK5	EZR	+	SN
CDK5	TP53	+	SN
CDK5	PTK2	+	SN
CDK5	NFAT5	+	SN
CDK5	HTT	+	SN
CDK5	APP	+	SN
CDK5	MAP2K1	-	SN
CDK5	CRMP1	+	SN
CDK5	RB1	-	SN
CDK5	PPP1R1B	+	SN
CDK5	DNMT1	+	SN
CDK5	MAPK10	+	SN
CDK5	NDEL1	+	SN
CDK5	TRPV1	+	SN
CDK5	NOS3	-	SN
CDK5	STMN1	-	SN
CDK5	SYN1	+	SN
CDK5	SRC	+	SN
CDK5	DNM1	+	SN
CDK5	ATM	+	SN
CDK5	AR	+	SN
CDK5R1	CDK5	+	SN
CDK5RAP3	CHEK1	-	SN
CDK5RAP3	CDK1	+	SN
CDK6	RBL2	-	SN
CDK6	CDKN1B	+	SN
CDK6	RB1	-	SN
CDK6	PRDX1	-	SN
CDK6	CDKN1A	-	SN
CDK6	CTNNB1	+	SN
CDK6	RUNX1	+	SN
CDK7	CDK11B	+	SN
CDK7	E2F1	-	SN
CDK7	TP53	+	SN
CDK7	NR5A1	+	SN
CDK7	RARA	+	SN
CDK7	ESR1	+	SN
CDK7	POLR2A	-	SN
CDK7	CDK4	+	SN
CDK7	CDK2	-	SN
CDK7	CDK1	+	SN
CDK7	AR	-	SN
CDK8	NOTCH1	+	SN
CDK8	E2F1	-	SN
CDK9	SUPT5H	+	SN
CDK9	SMAD3	+	SN
CDK9	RCHY1	-	SN
CDK9	TP53	+	SN
CDK9	SMAD1	+	SN
CDK9	POLR2A	+	SN
CDKN1A	CCNB1	-	SN
CDKN1A	POLK	-	SN
CDKN1A	TP53	+	SN
CDKN1A	FEN1	-	SN
CDKN1A	CCND3	-	SN
CDKN1A	PCNA	-	SN
CDKN1A	CDK6	-	SN
CDKN1A	CDK4	-	SN
CDKN1A	CDK3	-	SN
CDKN1A	CDK2	-	SN
CDKN1A	CDK1	-	SN
CDKN1A	CCND1	-	SN
CDKN1B	CCND3	-	SN
CDKN1B	CDK2	-	SN
CDKN1B	CDK1	-	SN
CDKN2A	NPM1	-	SN
CDKN2A	KAT5	+	SN
CDKN2A	MDM2	-	SN
CDKN2A	MYC	-	SN
CDKN2A	HUWE1	-	SN
CDKN2A	CDK6	+	SN
CDKN2A	CDK4	-	SN
CDKN2A	CDK2	-	SN
CDKN2A	BCL2L1	-	SN
CDKN2A	ATR	+	SN
CDKN2AIP	TP53	+	SN
CDKN2B	CDK4	-	SN
CDKN2C	CDK6	+	SN
CDKN2C	CDK4	-	SN
CDKN2D	CDK6	+	SN
CDKN2D	CDK4	+	SN
CDKN3	CDK2	-	SN
CDO1	SHH	+	SN
CDX1	PPARG	+	GRN
CDX2	AXIN2	+	GRN
CDX2	LCT	+	GRN
CDX2	MUC2	+	GRN
CDX2	UGT1A8	+	GRN
CDX2	CFTR	+	GRN
CDX2	MEP1A	+	GRN
CDX2	KLF4	+	GRN
CDX2	UGT1A10	+	GRN
CDX2	CDH17	+	GRN
CDX2	SLC15A1	+	GRN
CEBPA	MPO	+	GRN
CEBPA	LTF	+	GRN
CEBPA	SLC11A1	+	GRN
CEBPA	LYZ	+	GRN
CEBPA	CD14	+	GRN
CEBPA	CSF1R	+	GRN
CEBPA	SPI1	+	SN
CEBPA	ELANE	+	GRN
CEBPA	CSF3R	+	GRN
CEBPA	CSF2RA	+	SN
CEBPA	F9	+	SN
CEBPA	APOC3	+	GRN
CEBPA	IGF1	+	SN
CEBPA	INSR	+	GRN
CEBPA	SPP1	+	SN
CEBPA	APOB	+	GRN
CEBPA	PPARG	+	GRN
CEBPA	GLS2	+	GRN
CEBPA	ALB	+	GRN
CEBPA	STAR	+	GRN
CEBPA	APOA1	+	GRN
CEBPA	ITGAX	+	GRN
CEBPA	SAA1	+	GRN
CEBPA	HP	+	GRN
CEBPA	SERPINC1	+	GRN
CEBPA	S100A9	+	GRN
CEBPA	IGF2	+	GRN
CEBPA	HSPA4	+	SN
CEBPA	LEP	+	SN
CEBPA	FOXA2	+	SN
CEBPA	HAMP	+	GRN
CEBPA	SCD	+	GRN
CEBPA	ADH1B	+	GRN
CEBPA	BCL2	+	GRN
CEBPA	MYC	-	GRN
CEBPA	HSD17B11	+	GRN
CEBPA	CRMP1	+	SN
CEBPA	ELANE	+	GRN
CEBPA	SOCS3	+	GRN
CEBPA	CDKN1A	+	GRN
CEBPA	SFTPD	+	GRN
CEBPB	STAT3	+	GRN
CEBPB	HSP90AA1	+	GRN
CEBPB	FOXO1	+	GRN
CEBPB	GFER	-	GRN
CEBPB	CRP	+	GRN
CEBPB	INSR	+	GRN
CEBPB	IL6	+	GRN
CEBPB	ADM	+	GRN
CEBPB	IL1B	+	SN
CEBPB	ABCB1	+	GRN
CEBPB	STAR	+	GRN
CEBPB	SAA1	+	SN
CEBPB	HP	+	GRN
CEBPB	CSRP1	+	GRN
CEBPB	FASLG	+	GRN
CEBPB	S100A9	+	GRN
CEBPB	FURIN	+	GRN
CEBPB	IGF2	+	GRN
CEBPB	XBP1	+	GRN
CEBPB	SLC19A1	+	GRN
CEBPB	SAA2	+	GRN
CEBPB	PTGS2	+	GRN
CEBPB	SLC10A1	+	GRN
CEBPB	CYP19A1	-	GRN
CEBPB	TNFAIP6	+	GRN
CEBPB	CXCL8	+	SN
CEBPB	IL4	+	GRN
CEBPB	CSF3R	+	GRN
CEBPB	CDKN1A	+	GRN
CEBPB	SFTPD	+	GRN
CEBPD	POU5F1	+	GRN
CEBPD	CYP19A1	-	GRN
CEBPE	CTSG	+	GRN
CEBPE	SPI1	-	GRN
CEBPE	MYC	-	GRN
CEBPE	GATA1	-	GRN
CEBPG	SFTPD	+	GRN
CERK	RAF1	+	SN
CFH	CRP	-	SN
CFL1	ACTC1	-	SN
CFL2	ACTC1	+	SN
CFLAR	ATG3	-	SN
CFLAR	FADD	-	SN
CFLAR	RIPK1	-	SN
CFLAR	NFKB1	-	SN
CFLAR	CASP10	-	SN
CFLAR	CASP8	-	SN
CHD8	CTNNB1	-	SN
CHEK1	SYK	-	SN
CHEK1	H3F3B	+	SN
CHEK1	CDC7	+	SN
CHEK1	PTTG1	+	SN
CHEK1	MDM4	-	SN
CHEK1	CLSPN	+	SN
CHEK1	TP73	+	SN
CHEK1	TLK1	+	SN
CHEK1	FANCL	+	SN
CHEK1	BLM	+	SN
CHEK1	UBE2B	+	SN
CHEK1	E2F3	+	SN
CHEK1	FANCD2	+	SN
CHEK1	TP53	+	SN
CHEK1	FANCA	+	SN
CHEK1	CDC25C	-	SN
CHEK1	HIST1H3F	-	SN
CHEK1	WEE1	+	SN
CHEK1	NFKB1	-	SN
CHEK1	FANCE	+	SN
CHEK1	NEK11	+	SN
CHEK1	CDC25B	+	SN
CHEK1	RB1	+	SN
CHEK1	RAD51	+	SN
CHEK1	AURKB	+	SN
CHEK1	CDC25A	+	SN
CHEK1	BRCA2	+	SN
CHEK2	RASGRF1	-	SN
CHEK2	FOXM1	+	SN
CHEK2	PTTG1	+	SN
CHEK2	PPP2R5C	+	SN
CHEK2	XRCC1	+	SN
CHEK2	MAPT	-	SN
CHEK2	ASF1A	-	SN
CHEK2	CDC25C	+	SN
CHEK2	STRAP	+	SN
CHEK2	ELAVL1	+	SN
CHEK2	CDC25A	-	SN
CHEK2	VHL	+	SN
CHEK2	TTK	+	SN
CHEK2	TP53	+	SN
CHEK2	TERF2	+	SN
CHEK2	RB1	+	SN
CHEK2	MDM4	+	SN
CHEK2	MDM2	+	SN
CHEK2	KIT	+	SN
CHEK2	E2F1	+	SN
CHEK2	BRCA1	+	SN
CHFR	PLK1	-	SN
CHP1	PAK1	+	SN
CHRM1	GNAQ	+	SN
CHRM1	GNA11	+	SN
CHRM2	GNAO1	+	SN
CHRM2	GNAI3	+	SN
CHRM4	EEF1A2	+	SN
CHRM4	GNAI3	+	SN
CHUK	NCOR2	-	SN
CHUK	TSC2	-	SN
CHUK	NFKBIA	+	SN
CHUK	NFKB1	+	SN
CHUK	H3F3B	+	SN
CHUK	CYLD	+	SN
CHUK	CREBBP	+	SN
CHUK	CCND1	+	SN
CHURC1-FNTB	KRAS	+	SN
CHURC1-FNTB	HRAS	+	SN
CIB1	PAK1	+	SN
CIITA	RFX5	+	SN
CISD2	BCL2	+	SN
CISH	STAT5A	+	SN
CISH	LEPR	+	SN
CKS1B	CDK1	+	SN
CLK1	ABL1	-	SN
CLK1	PTPN1	+	SN
CLK2	PTPN1	+	SN
CLK4	ABL1	-	SN
CLOCK	PER3	+	GRN
CLOCK	BHLHE40	+	GRN
CLOCK	CRY1	+	GRN
CLOCK	BHLHE41	+	GRN
CLOCK	PER2	+	GRN
CLOCK	CRY2	+	GRN
CLOCK	PER1	+	GRN
CLSPN	CHEK1	+	SN
CNKSR1	RASSF1	+	SN
CNKSR1	RAF1	+	SN
CNKSR2	RAF1	+	SN
CNTN1	NOTCH1	+	SN
CNTN6	NOTCH1	+	SN
COL1A1	ITGB1	+	SN
COL1A1	DDR1	+	SN
COP1	TP53	-	SN
COP1	CASP5	-	SN
COPS5	MYC	+	SN
COPS5	MDM2	+	SN
COPS5	SMAD4	+	SN
COPS5	JUN	+	SN
COPS5	CDKN1B	-	SN
COPS6	CASP3	+	SN
CORT	SSTR5	+	SN
CORT	GHSR	+	SN
COX5B	APAF1	+	SN
CP	SMO	-	SN
CRADD	RIPK1	+	SN
CRADD	CASP2	+	SN
CREB1	CRTC2	+	GRN
CREB1	CTNNB1	+	SN
CREB1	CREBBP	+	GRN
CREB1	BCL2	+	GRN
CREB1	JUN	-	GRN
CREB1	MUC5AC	+	SN
CREB1	PCSK1	+	SN
CREB1	IL6	+	SN
CREB1	CD4	+	GRN
CREB1	PSEN1	+	GRN
CREB1	PPP2CA	+	GRN
CREB1	CDK11A	+	GRN
CREB1	IFNG	+	GRN
CREB1	HMOX1	-	GRN
CREB1	ETV3	+	GRN
CREB1	SLC20A1	+	GRN
CREB1	PTGS2	+	GRN
CREB1	BCL2	+	GRN
CREB1	CYP19A1	+	GRN
CREB1	NOLC1	+	GRN
CREB1	MITF	+	GRN
CREB1	IL2	+	GRN
CREB1	UXT	+	GRN
CREB1	IL10	+	GRN
CREB1	MUC4	+	GRN
CREB1	BDNF	+	GRN
CREB1	PLAT	-	GRN
CREBBP	MEF2C	+	SN
CREBBP	KLF1	+	SN
CREBBP	IFNAR2	+	SN
CREBBP	ELK1	+	SN
CREBBP	CSK	+	SN
CREBBP	IRF9	+	SN
CREBBP	SMAD3	-	SN
CREBBP	JUN	+	SN
CREBBP	RELB	+	SN
CREBBP	TDG	+	SN
CREBBP	STAT3	+	SN
CREBBP	MYB	+	SN
CREBBP	ASAH2B	+	SN
CREBBP	KAT2B	+	SN
CREBBP	RELA	+	SN
CREBBP	NFE2L2	+	SN
CREBBP	STAT2	+	SN
CREBBP	HIST1H3F	+	SN
CREBBP	WRN	+	SN
CREBBP	TCF7	-	SN
CREBBP	NFKB1	+	SN
CREBBP	MMP9	+	SN
CREBBP	MYOD1	+	SN
CREBBP	HNF1A	+	SN
CREBBP	CREB1	+	SN
CREBBP	IRF1	+	SN
CREBBP	CTNNB1	+	SN
CREBBP	ARNT	+	SN
CREM	KCNIP3	-	GRN
CREM	CREB1	-	GRN
CREM	DUSP1	-	SN
CREM	CCNA2	-	GRN
CREM	FOS	-	GRN
CREM	CD247	-	GRN
CREM	IL2	-	SN
CRH	CRHR2	+	SN
CRIPAK	PAK1	+	SN
CRK	MAP4K1	+	SN
CRK	DOCK1	+	SN
CRK	ARHGAP32	+	SN
CRK	MAPK8	+	SN
CRK	CBL	+	SN
CRK	PTK2	+	SN
CRK	RAPGEF1	+	SN
CRLF2	STAT5A	+	SN
CRLF2	JAK2	+	SN
