Source	Target	Sign	Network
AKT1	FOXO4	+	SN
AKT1	YAP1	-	SN
AKT1	AKT1S1	-	SN
AKT1	DNMT1	+	SN
AKT1	CREB1	+	SN
AKT1	CHUK	+	SN
AKT1	MAP3K8	+	SN
AKT1	ITGB1	+	SN
AKT1	CDKN1A	+	SN
AKT1	GATA1	+	SN
AKT1	CHEK1	+	SN
AKT1	NOS3	+	SN
AKT1	VCP	+	SN
AKT1	PTPN1	-	SN
AKT1	CTNNB1	+	SN
AKT1	SLC2A4	+	SN
AKT1	PRKACA	+	SN
AKT1	ITPR1	-	SN
AKT1S1	RPTOR	-	SN
AKT1S1	MTOR	-	SN
AKT2	POU5F1	+	SN
AKT2	HTRA2	-	SN
AKT2	HSPB1	-	SN
AKT2	GSK3B	-	SN
AKT2	MTOR	+	SN
AKT2	EP300	+	SN
AKT2	TSC2	-	SN
AKT2	RAF1	-	SN
AKT2	STK3	-	SN
AKT2	EZR	+	SN
AKT2	STK4	-	SN
AKT2	MAP3K5	-	SN
AKT2	GSK3A	-	SN
AKT2	XIAP	+	SN
AKT2	SH3RF1	-	SN
AKT2	BAD	+	SN
AKT2	ESR1	+	SN
AKT2	NFKB1	+	SN
AKT2	FOXO1	-	SN
AKT2	BRAF	-	SN
AKT2	PPARGC1A	-	SN
AKT2	MDM2	+	SN
AKT2	CASP9	+	SN
AKT2	CDKN1B	-	SN
AKT2	FOXO3	-	SN
AKT2	FOXO4	-	SN
AKT2	AKT1S1	-	SN
AKT2	CREB1	+	SN
AKT2	CHUK	+	SN
AKT2	CDKN1A	+	SN
AKT2	NOS3	+	SN
AKT2	PTPN1	-	SN
AKT2	CTNNB1	+	SN
AKT3	POU5F1	+	SN
AKT3	HSPB1	-	SN
AKT3	STK3	-	SN
AKT3	AGO2	+	SN
AKT3	FOXO3	-	SN
AKT3	AKT1S1	-	SN
AKT3	CREB1	+	SN
AKT3	CHUK	+	SN
AKT3	TBX3	+	SN
AKT3	STK4	-	SN
AKT3	NOS3	+	SN
AKT3	GSK3B	+	SN
AKT3	CASP9	-	SN
AKT3	BRAF	-	SN
AKT3	BAD	+	SN
ALK	PIK3R3	+	SN
ALK	SHC3	+	SN
ALK	STAT3	+	SN
ALK	SHC1	+	SN
ALK	SFPQ	-	SN
ALK	PLCG1	+	SN
AMBRA1	BECN1	+	SN
AMER1	WT1	+	SN
AMER1	CSNK1G1	+	SN
AMER1	LRP6	+	SN
AMER1	AXIN1	+	SN
AMER1	GSK3B	+	SN
AMER1	CTNNB1	+	SN
AMER1	APC	+	SN
ANAPC1	PTTG1	+	SN
ANAPC1	CTNNB1	-	SN
ANGPT1	TEK	+	SN
ANGPT2	TEK	+	SN
ANGPT4	TEK	+	SN
ANGPTL1	TEK	+	SN
ANO9	STAT1	+	SN
ANP32A	APAF1	+	SN
AP1B1	GABRA1	-	SN
AP1B1	CLTA	+	SN
AP1B1	DNM1	+	SN
AP2M1	EGFR	-	SN
APAF1	CASP9	+	SN
APAF1	CASP3	+	SN
APC	POLB	-	SN
APC	FEN1	-	SN
APC	CTNNB1	+	SN
APC2	AXIN1	+	SN
APC2	CTNNB1	-	SN
APEX1	TXN	+	SN
APEX1	TP53	+	SN
APEX1	STAT3	+	SN
APEX1	ARNT	+	SN
APH1A	NCSTN	+	SN
APH1B	NCSTN	+	SN
APIP	APAF1	-	SN
APLF	PARP1	+	SN
APOA1	LCAT	+	SN
APOA1	ABCA1	+	SN
APOB	LDLR	+	SN
APOE	VLDLR	+	SN
APPL1	STK11	+	SN
AR	JUN	+	SN
AR	ANO7	+	GRN
AR	NR3C1	+	SN
AR	CYP3A5	+	SN
AR	CFLAR	+	SN
AR	ERBB3	+	SN
AR	KRT18	+	GRN
AR	KLK2	+	GRN
AR	DDC	+	GRN
AR	F2R	+	SN
AR	ODC1	+	SN
AR	MMP2	+	SN
AR	DBI	+	GRN
AR	FGF8	+	SN
AR	PGC	+	SN
AR	PMAIP1	+	GRN
AR	RXRA	+	GRN
AR	MME	+	GRN
AR	NR5A1	+	GRN
AR	CASP2	-	SN
AR	CCN5	+	SN
AR	PFKFB1	+	SN
AR	MT2A	+	GRN
AR	ACPP	+	SN
AR	C1orf116	+	GRN
AR	ESR1	+	SN
AR	FOXO1	+	GRN
AR	FOXO3	-	SN
AR	IGFBP3	+	GRN
AR	NKX3-1	+	GRN
AR	CA3	+	SN
AR	SCAP	+	GRN
AR	STEAP4	+	SN
AR	FKBP5	+	GRN
AR	CTNNB1	+	SN
AR	SCNN1A	+	SN
AR	KLK3	+	SN
AR	JUN	+	SN
AR	CDH2	+	GRN
AR	DDT	+	SN
AR	PMEPA1	+	SN
AR	KIAA1217	-	SN
AR	MUC1	-	SN
AR	NCOA2	-	SN
AR	FKBP5	+	GRN
AR	ERBB3	+	SN
AR	KLK2	+	GRN
AR	SNAI2	+	GRN
AR	RELA	-	SN
AR	DBI	+	GRN
AR	PGC	+	SN
AR	EGFR	+	SN
AR	SMS	+	GRN
AR	VEGFA	+	SN
AR	PTGS2	-	GRN
AR	KLK3	+	SN
AR	AKT1	+	GRN
AR	CDC6	+	SN
AR	AKR1C3	-	GRN
AR	TMPRSS2	+	GRN
AR	DHX15	+	SN
AR	NFKB1	-	SN
AR	IGF1R	+	GRN
AR	SERPINB5	-	GRN
AR	KLK4	+	GRN
AR	NKX3-1	+	GRN
AR	SCAP	+	GRN
AR	CDKN1A	+	GRN
AR	PRKCD	+	GRN
ARAF	MAPK1	+	SN
ARAF	MAPK3	+	SN
ARAF	MAP2K2	+	SN
ARAF	MAP2K1	+	SN
AREG	ERBB2	+	SN
AREG	EGFR	+	SN
ARFGAP1	LRRK2	+	SN
ARHGAP1	ROCK2	+	SN
ARHGAP32	SRC	+	SN
ARHGAP32	RAC1	+	SN
ARHGAP32	CRK	+	SN
ARHGAP32	RHOA	+	SN
ARHGDIA	RAC1	-	SN
ARHGDIA	RHOA	+	SN
ARHGEF1	GNA13	+	SN
ARHGEF1	RHOA	+	SN
ARHGEF12	RHOA	+	SN
ARHGEF2	ARHGAP1	+	SN
ARHGEF2	RAC1	+	SN
ARHGEF7	LRRK2	+	SN
ARHGEF7	RAC1	+	SN
ARNT	CYP1B1	+	GRN
ARNT	FOS	-	GRN
ARNT	EPO	+	GRN
ARNTL	CRY2	+	GRN
ARNTL	PER3	+	GRN
ARNTL	BHLHE40	+	GRN
ARNTL	CRY1	+	SN
ARNTL	PER2	+	GRN
ARNTL	CRY2	+	GRN
ARNTL	PER1	+	GRN
ARNTL2	SERPINE1	+	GRN
ARRB1	SRC	+	SN
ARRB1	SMO	+	SN
ARRB1	MAPK3	+	SN
ARRB1	PDE4D	+	SN
ARRB1	NFKBIA	+	SN
ARRB1	MDM2	+	SN
ARVCF	ERBIN	+	SN
ARVCF	CDH3	+	SN
ARVCF	CDH1	+	SN
ASCL1	PCSK6	-	GRN
ASF1A	EP300	+	SN
ASH1L	HIST1H3F	+	SN
ASH2L	TBX1	+	SN
ASH2L	GATA3	+	SN
ATAD2	MYC	+	SN
ATAD2	ESR1	+	SN
ATAD2	E2F1	+	SN
ATAD2	AR	+	SN
ATF1	CCDC65	+	SN
ATF1	ATM	+	SN
ATF1	PCSK1	+	GRN
ATF1	CCNA1	-	GRN
ATF1	TGFB2	+	GRN
ATF1	CFTR	+	GRN
ATF1	SLC20A1	+	GRN
ATF1	MAP1LC3B	+	GRN
ATF1	IL10	+	GRN
ATF2	MAPK8	+	GRN
ATF2	JUN	+	GRN
ATF2	JUN	+	GRN
ATF2	APOC3	+	GRN
ATF2	PCK1	+	GRN
ATF2	CCND1	+	GRN
ATF2	IFNB1	+	GRN
ATF2	MMP2	+	SN
ATF2	TGFB2	-	SN
ATF2	TNF	+	GRN
ATF2	IFNG	+	GRN
ATF2	ATF3	+	GRN
ATF2	INS	+	GRN
ATF2	RB1	+	GRN
ATF2	PLAT	+	GRN
ATF2	NOS3	-	GRN
ATF3	TP53	-	GRN
ATF3	GDF15	+	GRN
ATF3	DDIT3	+	GRN
ATF3	ASNS	+	GRN
ATF3	GCLC	-	GRN
ATF3	LDLR	-	GRN
ATF3	ID1	-	GRN
ATF3	SELE	-	SN
ATF4	CHAC1	+	GRN
ATF4	HRK	+	GRN
ATF4	TRIB3	+	GRN
ATF4	DDR2	+	GRN
ATF4	DDIT3	+	GRN
ATF4	NUPR1	+	GRN
ATF4	CEBPB	+	GRN
ATF4	ASNS	+	GRN
ATF4	FGF21	+	GRN
ATF4	VEGFA	+	GRN
ATF4	ATF3	+	GRN
ATF4	DDIT4	+	GRN
ATF6	CALR	+	GRN
ATF6	RTN3	+	GRN
ATF6	DNAJC3	+	GRN
ATF6	SEL1L	+	GRN
ATF6	HSP90B1	+	GRN
ATG101	ATG13	+	SN
ATG13	ULK2	+	SN
ATG13	RB1CC1	+	SN
ATG13	ULK1	+	SN
ATG16L1	CLTC	+	SN
ATG3	MAP1LC3B	+	SN
ATG4B	MAP1LC3C	+	SN
ATG4B	MAP1LC3B	+	SN
ATG7	MAP1LC3B	+	SN
ATM	TAOK3	+	SN
ATM	CCDC6	+	SN
ATM	ZNF148	+	SN
ATM	PPP1R2	-	SN
ATM	TAOK1	+	SN
ATM	KHSRP	+	SN
ATM	RAD50	+	SN
ATM	PNKP	+	SN
ATM	PRKDC	+	SN
ATM	NBN	+	SN
ATM	ATMIN	+	SN
ATM	MDM4	+	SN
ATM	DBF4	-	SN
ATM	AVEN	+	SN
ATM	MCM3	+	SN
ATM	PPP2R5C	+	SN
ATM	FBXO31	+	SN
ATM	RASSF1	+	SN
ATM	HIF1A	+	SN
ATM	EXO1	+	SN
ATM	RRM2B	+	SN
ATM	HMGA1	+	SN
ATM	HIPK2	+	SN
ATM	PPP2R5D	+	SN
ATM	TOPBP1	+	SN
ATM	DYRK2	+	SN
ATM	CEP164	+	SN
ATM	EP300	+	SN
ATM	BRCA1	+	SN
ATM	H2AFX	+	SN
ATM	SP1	+	SN
ATM	SMC3	+	SN
ATM	TDP1	+	SN
ATM	SMC1A	+	SN
ATM	BLM	+	SN
ATM	RPA2	+	SN
ATM	UPF1	+	SN
ATM	HMGA2	+	SN
ATM	TP53BP1	+	SN
ATM	BUB1	+	SN
ATM	DAXX	-	SN
ATM	E2F1	+	SN
ATM	NFKBIA	+	SN
ATM	FANCD2	+	SN
ATM	ABL1	+	SN
ATM	TP53	+	SN
ATM	TRIM28	+	SN
ATM	RPA1	-	SN
ATM	EIF4EBP1	+	SN
ATM	RNF20	+	SN
ATM	FANCA	+	SN
ATM	ATF2	+	SN
ATM	NABP2	+	SN
ATM	IKBKG	+	SN
ATM	DCLRE1A	+	SN
ATM	MDC1	+	SN
ATM	RBBP8	+	SN
ATM	NFAT5	+	SN
ATM	RAD17	+	SN
ATM	TP63	-	SN
ATM	RNF40	+	SN
ATM	COP1	-	SN
ATM	RAD9A	+	SN
ATM	MRE11	+	SN
ATM	SMAD1	+	SN
ATM	TRAF6	+	SN
ATM	ABRAXAS1	+	SN
ATM	STRAP	+	SN
ATM	MDM2	+	SN
ATM	BID	+	SN
ATM	STK11	+	SN
ATM	DCLRE1C	+	SN
ATM	HNF1A	+	SN
ATM	ZNF420	-	SN
ATM	SIAH1	-	SN
ATM	SRSF1	+	SN
ATM	CHEK2	+	SN
ATM	CREB1	-	SN
ATM	USP28	+	SN
ATM	SLX4	+	SN
ATM	CHEK1	+	SN
ATM	PLK1	-	SN
ATM	TERF2	+	SN
ATM	TERF1	+	SN
ATM	AKT1	+	SN
ATOH1	HES6	+	GRN
ATR	PRKDC	+	SN
ATR	NBN	+	SN
ATR	DBF4	-	SN
ATR	XPC	+	SN
ATR	UIMC1	+	SN
ATR	XPA	+	SN
ATR	CLSPN	-	SN
ATR	EXO1	+	SN
ATR	FANCI	+	SN
ATR	MCM6	+	SN
ATR	MCM4	+	SN
ATR	CEP164	+	SN
ATR	KMT2A	+	SN
ATR	BRCA1	+	SN
ATR	H2AFX	+	SN
ATR	SP1	+	SN
ATR	SMC1A	+	SN
ATR	FANCL	+	SN
ATR	RPA2	+	SN
ATR	SMARCC2	+	SN
ATR	UPF1	+	SN
ATR	E2F1	+	SN
ATR	FANCD2	+	SN
ATR	TP53	+	SN
ATR	FANCA	+	SN
ATR	RBBP8	+	SN
ATR	RAD17	+	SN
ATR	MCM2	+	SN
ATR	MDM2	-	SN
ATR	RAD1	+	SN
ATR	RFWD3	+	SN
ATR	CHEK2	+	SN
ATR	CREB1	+	SN
ATR	POLH	+	SN
ATR	ATRIP	+	SN
ATR	CHEK1	+	SN
ATR	PLK1	-	SN
ATR	ATM	+	SN
ATRIP	BRCA1	+	SN
AURKA	TACC3	+	SN
AURKA	DLGAP5	+	SN
AURKA	KNSTRN	-	SN
AURKA	MAPRE3	+	SN
AURKA	PARD3	+	SN
AURKA	TACC1	+	SN
AURKA	RASSF1	-	SN
AURKA	MAP9	+	SN
AURKA	LATS2	+	SN
AURKA	MBD3	+	SN
AURKA	TP53	+	SN
AURKA	HIST1H3F	+	SN
AURKA	PIN1	-	SN
AURKA	CENPA	+	SN
AURKA	CPEB1	+	SN
AURKA	AJUBA	+	SN
AURKA	TPX2	+	SN
AURKA	CDC25B	+	SN
AURKA	FADD	+	SN
AURKA	PPP1R1B	-	SN
AURKA	NDEL1	+	SN
AURKA	HDAC6	+	SN
AURKA	FAF1	-	SN
AURKA	PLK1	+	SN
AURKA	KIF11	+	SN
AURKA	CETN2	+	SN
AURKA	BRCA1	+	SN
AURKA	AR	-	SN
AURKB	DIAPH2	+	SN
AURKB	CKAP2	+	SN
AURKB	PLEKHG6	+	SN
AURKB	NSUN2	-	SN
AURKB	DSN1	-	SN
AURKB	KNL1	-	SN
AURKB	HDAC9	-	SN
AURKB	MAPRE3	+	SN
AURKB	NINL	+	SN
AURKB	HDAC5	-	SN
AURKB	RASSF1	-	SN
AURKB	YY1	+	SN
AURKB	KIF2C	+	SN
AURKB	VIM	-	SN
AURKB	HDAC4	-	SN
AURKB	RACGAP1	+	SN
AURKB	NDC80	+	SN
AURKB	HIST1H3F	+	SN
AURKB	REC8	-	SN
AURKB	CHMP4C	+	SN
AURKB	CENPA	+	SN
AURKB	DES	+	SN
AURKB	KIF23	+	SN
AURKB	INCENP	+	SN
AURKB	TP53	-	SN
AURKB	RB1	+	SN
AURKB	H3F3B	+	SN
AURKB	ATM	+	SN
AURKB	BIRC5	-	SN
AURKC	HIST1H3F	+	SN
AVEN	ATM	+	SN
AXIN1	SMAD7	+	SN
AXIN1	RNF111	+	SN
AXIN1	SMAD3	+	SN
AXIN1	MAP3K4	+	SN
AXIN1	CSNK1D	+	SN
AXIN1	CSNK1A1	+	SN
AXIN1	MYC	+	SN
AXIN1	MAP3K1	+	SN
AXIN1	GSK3B	+	SN
AXIN1	GSK3A	+	SN
AXIN1	CTNNB1	+	SN
AXIN1	BMPR1A	-	SN
AXIN1	APC	+	SN
AXIN2	GSK3B	+	SN
AXIN2	CTNNB1	+	SN
AXIN2	APC	+	SN
AXL	PIK3CG	+	SN
AXL	GRAP	+	SN
AXL	TNS2	+	SN
AXL	SOCS1	+	SN
BABAM1	BRCA1	+	SN
BACH1	NFE2L2	-	GRN
BACH1	NQO1	-	SN
BACH1	HMOX1	-	SN
BAD	BCL2L2	-	SN
BAD	TP53	+	SN
BAD	CYCS	+	SN
BAD	BCL2	+	SN
BAD	BCL2L1	+	SN
BAG1	BCL2	+	SN
BAG2	STUB1	+	SN
BAG2	RAF1	+	SN
BAG2	BCL2	+	SN
BAG4	TNFRSF1A	-	SN
BAK1	DIABLO	+	SN
BAK1	ENDOG	+	SN
BAK1	HTRA2	+	SN
BAK1	BAX	+	SN
BAK1	AIFM1	+	SN
BAK1	CYCS	+	SN
BAK1	VDAC1	+	SN
BAK1	BAD	-	SN
BAMBI	TGFBR1	+	SN
BAMBI	BMPR1A	+	SN
BARD1	BRCA1	+	SN
BAX	COX5B	+	SN
BAX	DIABLO	+	SN
BAX	ENDOG	+	SN
BAX	HTRA2	+	SN
BAX	AIFM1	+	SN
BAX	CYCS	+	SN
BAX	VDAC1	+	SN
BAX	BAD	-	SN
BAX	APAF1	+	SN
BBC3	MCL1	-	SN
BBC3	BCL2L1	-	SN
BBC3	BCL2	-	SN
BBC3	BAX	+	SN
BBC3	BAK1	+	SN
BCAP31	CASP8	-	SN
BCAP31	BCL2L1	+	SN
BCAP31	BCL2	+	SN
BCAR1	CRK	+	SN
BCL10	IKBKG	+	SN
BCL2	TP53AIP1	-	SN
BCL2	BIK	-	SN
BCL2	BECN1	-	SN
BCL2	XRCC6	-	SN
BCL2	CYCS	-	SN
BCL2	BID	-	SN
BCL2	BAX	-	SN
BCL2	BAK1	-	SN
BCL2	BAD	-	SN
BCL2L1	BIK	-	SN
BCL2L1	BECN1	+	SN
BCL2L1	VDAC1	-	SN
BCL2L1	CASP9	-	SN
BCL2L1	BID	-	SN
BCL2L1	BAX	-	SN
BCL2L1	BAK1	-	SN
BCL2L1	BAD	+	SN
BCL2L1	APAF1	+	SN
BCL2L11	BCL2L2	-	SN
BCL2L11	BCL2A1	-	SN
BCL2L11	VDAC1	+	SN
BCL2L11	MCL1	-	SN
BCL2L11	BCL2L1	-	SN
BCL2L11	BCL2	-	SN
BCL2L11	BAX	+	SN
BCL2L11	BAK1	+	SN
BCL2L2	BAX	-	SN
BCL2L2	BAK1	-	SN
BCL3	HDAC3	+	SN
BCL3	HDAC1	+	SN
BCL6	ZBTB17	-	SN
BCL6	TP53	-	GRN
BCL6	ATR	-	GRN
BCL6	HDAC7	-	GRN
BCL6	LITAF	-	GRN
BCL6	IRF4	-	SN
BCL6	CCND2	-	SN
BCL9	CTNNB1	+	SN
BCOR	HDAC5	+	SN
BCOR	RNF2	+	SN
BCOR	HDAC3	+	SN
BCOR	HDAC1	+	SN
BCOR	BCL6	+	SN
BCR	YWHAQ	+	SN
BCR	ABL1	+	SN
BDKRB1	GNAQ	+	SN
BDKRB1	GNA11	+	SN
BDNF	NTRK2	+	SN
BECN1	AMBRA1	+	SN
BFAR	CASP8	-	SN
BID	COX5B	+	SN
BID	ENDOG	+	SN
BID	BCL2L2	-	SN
BID	CYCS	+	SN
BID	BCL2L1	-	SN
BID	BAX	+	SN
BID	BAK1	+	SN
BIK	BCL2L1	-	SN
BIRC2	RIPK1	+	SN
BIRC2	IKBKG	+	SN
BIRC2	CASP9	-	SN
BIRC2	CASP7	-	SN
BIRC2	CASP3	-	SN
BIRC2	CASP2	-	SN
BIRC3	RIPK1	+	SN
BIRC3	CASP9	-	SN
BIRC3	CASP7	-	SN
BIRC3	CASP3	-	SN
BIRC5	DIABLO	-	SN
BIRC5	CASP9	-	SN
BIRC5	CASP3	+	SN
BIRC5	CASP7	-	SN
BIRC5	AURKB	+	SN
BIRC5	XIAP	+	SN
BIRC6	CASP9	-	SN
BIRC6	CASP7	-	SN
BIRC6	CASP3	-	SN
BIRC8	CASP9	-	SN
BLK	FCGR2B	+	SN
BLM	TP53	+	SN
BLVRA	JUN	+	SN
BLVRA	HMOX1	+	SN
BMF	BCL2L2	+	SN
BMF	MCL1	-	SN
BMF	BCL2L1	-	SN
BMF	BCL2	-	SN
BMI1	CDKN2A	+	SN
BMP10	BMPR1A	+	SN
BMP15	BMPR2	+	SN
BMP2	ACVR2B	+	SN
BMP2	SHH	-	SN
BMP2	BMPR2	+	SN
BMP4	BMPR2	+	SN
BMP7	ACTR2	+	SN
BMP7	ACVR2B	+	SN
BMP7	BMPR2	+	SN
BMP7	ACVR2A	+	SN
BMPR1A	BMPR2	+	SN
BMPR1A	BMPR1B	+	SN
BMPR1A	SMAD9	+	SN
BMPR1A	SMAD5	+	SN
BMPR1A	SMAD1	+	SN
BMPR2	ACVR1	+	SN
BMPR2	BMPR1B	+	SN
BMPR2	BMPR1A	+	SN
BMX	PTK2	+	SN
BNIP3	RHEB	-	SN
BNIP3	BCL2L1	-	SN
BNIP3	BCL2	-	SN
BNIP3L	GABARAPL1	+	SN
BOC	SHH	+	SN
BORA	AURKA	+	SN
BORA	PLK1	+	SN
BRAF	MAP4K1	+	SN
BRAF	MAPK1	+	SN
BRAF	TGFB1	+	SN
BRAF	MAPK3	+	SN
BRAF	MAP2K2	+	SN
BRAF	MAP2K1	+	SN
BRCA1	PALB2	+	SN
BRCA1	GADD45A	+	SN
BRCA1	ABL1	-	SN
BRCA1	SOX2	+	SN
BRCA1	RBBP8	+	SN
BRCA2	POLH	+	SN
BRD4	POLR2A	+	SN
BRSK2	PRKAA1	+	SN
BSPRY	TRPV5	-	SN
BTC	EGFR	+	SN
BTG2	NFE2L2	+	SN
BTG2	CCND1	-	SN
BTK	ITK	+	SN
BTK	TEC	+	SN
BTK	TIRAP	-	SN
BTK	FAS	-	SN
BTK	GTF2I	+	SN
BTK	PLCG2	+	SN
BTK	BMX	+	SN
BTRC	EZH2	-	SN
BTRC	WEE1	-	SN
BTRC	NFKBIA	-	SN
BTRC	SMAD4	-	SN
BTRC	GLI1	-	SN
BTRC	CTNNB1	+	SN
BUB1	SMC1A	+	SN
BUB1	PLK1	+	SN
BUB1B	CDC20	+	SN
CABP1	CAMK2A	-	SN
CALB1	TRPV5	+	SN
CAMK2A	FBXO43	-	SN
CAMK2A	GFPT1	+	SN
CAMK2A	GRIA4	+	SN
CAMK2A	HRH1	-	SN
CAMK2A	LIPE	-	SN
CAMK2A	ETS2	-	SN
CAMK2A	ITPKA	+	SN
CAMK2A	TH	+	SN
