COSMIC_ID,Drug_1032_IC50
998184,0.888558
905939,1.939241
907069,1.14669
905968,-0.948808
688018,5.564265
905941,4.503287
688023,0.892776
924105,-1.403651
905944,2.281704
908459,2.39043
908142,1.129511
724825,1.436951
753566,4.422072
724831,2.072297
908471,1.986478
687798,-0.935354
908475,1.460188
1240201,2.080949
1322218,1.753495
907042,1.622873
906804,-0.12106
1240145,1.816952
1240186,3.211029
908455,-0.185471
1240196,2.081384
908126,1.558285
1240187,1.843774
753584,2.293782
909263,1.612073
909696,1.369246
910698,1.143341
905945,1.915629
910781,2.061601
687455,2.112227
909745,2.754949
946353,2.091655
687780,2.289731
906853,6.015747
749710,1.785775
907047,0.504627
749717,3.745974
753616,1.994765
908147,0.747676
1240197,3.388581
906842,0.518569
1240166,1.647862
930297,3.466583
1240143,2.942393
753569,2.244026
1240192,2.107179
1327769,1.496166
688025,1.503203
906839,1.796538
907313,2.303476
907064,3.691317
907068,2.294283
910942,1.833159
908127,2.18201
925345,0.915343
905980,0.548056
753600,1.624119
924244,-0.97483
906869,0.751916
1331039,1.787058
909743,1.337196
724879,2.137485
1240223,3.676748
687561,1.723549
906814,1.708086
906817,3.600672
1331049,1.152309
1298539,4.523946
909708,0.292192
910930,1.491349
910904,1.838979
724872,1.117352
724828,1.960222
1240216,2.542778
909736,2.247265
906798,1.728613
688058,1.992368
905986,2.249432
905956,2.326703
753621,1.76411
687983,2.238385
906852,0.808393
1240212,2.927363
905972,3.529448
753586,2.147926
1240168,2.202598
1240169,2.894418
910694,4.701216
1298226,0.438824
1290810,2.817821
1240131,3.949517
924110,1.369608
910935,0.515512
1330931,1.718659
1298169,1.758886
907319,0.758276
753532,1.895014
753539,1.734951
910544,1.2848
905978,2.558468
946370,3.049257
949165,1.320014
906872,2.329336
907065,3.197631
907169,2.362013
1240153,2.905435
688014,2.652316
722066,2.818737
908129,1.859743
724870,2.300992
925340,2.280425
688031,1.181727
908447,2.372535
687800,2.087571
1298526,3.532609
905937,0.824822
910549,0.185194
906791,5.430393
909754,3.537375
909759,1.941344
910941,1.790106
924108,2.047386
1290905,2.456274
688010,1.552293
753563,0.229573
1240121,1.997338
910926,1.73032
908440,0.382829
1331036,0.452922
946356,-0.193324
1240167,0.355241
688021,2.161418
1330987,0.359157
1503368,-1.445123
1789883,-4.43292
909728,0.680979
907300,0.399982
907270,0.292771
753615,2.241561
910944,0.311778
909974,1.714746
909720,2.672322
946355,-2.432259
749711,2.875085
907789,0.349772
908138,1.203115
907796,2.687754
910079,-3.377473
753554,2.833648
909250,2.927339
1290724,2.364218
1330985,1.019122
1503366,1.307634
683667,1.401843
905961,2.632773
907287,0.876162
909757,1.844997
908465,0.020223
906877,0.795574
1298358,3.874614
906826,3.956406
1240219,4.347045
910780,2.192604
906828,2.060475
753585,0.350774
917486,2.794807
1240208,3.933972
687505,0.231021
909262,1.200606
909264,2.126293
753610,1.701302
906824,0.610515
1297449,0.914907
1303897,3.742664
687563,1.694648
724866,3.056838
905984,1.501708
906831,1.546216
906835,4.713988
906851,1.865122
930298,1.406883
753558,3.18259
910779,4.778121
907791,4.073172
925338,3.791044
1290809,2.508585
1290812,4.89588
1298134,3.504573
907280,1.317183
907322,1.447388
910921,1.479529
1327771,0.645489
687815,-2.787778
687816,2.831975
908460,3.076726
1240174,1.93197
1240184,2.1068
1240159,3.548583
910900,2.901099
910554,-0.238455
905951,1.785
1298475,1.410487
910851,3.590769
724859,2.703005
753546,4.206978
1240151,2.581649
1298146,2.990538
905969,2.227047
949174,2.536122
687985,1.555215
906862,1.904104
1503364,-5.257743
687995,2.287743
1331038,1.803509
1331040,1.667095
1479987,1.149417
1524416,2.121816
908132,1.57339
1660034,1.495305
910903,2.00497
1299059,1.792788
910916,-1.732257
905983,3.650172
909779,3.793367
1240123,-2.571922
909756,3.429629
1240127,2.605265
905936,1.25578
907290,3.669595
1240147,3.037086
687997,2.781033
907271,2.76615
1298222,1.997551
907268,0.195164
1480364,-1.817914
1290813,1.487231
907274,1.585821
907314,2.273345
906693,1.899603
1240130,1.925708
930083,5.65024
724839,5.775512
1330941,-1.760659
905989,1.237494
1247873,-4.001855
1331037,0.110208
1299062,2.867516
909753,3.248505
687457,3.27999
1290730,0.886374
753541,0.878546
910695,0.903961
906818,2.922049
1240210,1.311439
910911,0.224377
909709,-0.359953
909735,1.400795
906797,1.955521
713878,1.613554
753589,2.197349
906837,0.322847
753620,2.084608
907788,1.029691
998189,2.05496
907058,1.376063
907281,1.531193
906794,1.694236
906746,2.643035
687568,3.187798
905940,2.082658
907289,-0.069144
909977,2.946164
910700,3.080788
688011,2.392011
1240189,1.223723
905942,2.311298
908139,2.032468
1298347,1.948267
724868,1.701617
1240141,1.132289
907046,1.782046
910569,1.715276
1330983,1.419179
905991,1.526056
909252,1.090562
753555,-3.095542
949155,1.193291
749709,1.956611
908483,0.585386
910689,3.507548
906833,1.837945
1298359,0.052442
909251,0.334735
1299075,3.019935
1240226,2.951943
1503365,1.252918
1240217,2.004643
908131,2.177546
949161,1.446911
1327774,1.607504
1659823,0.642952
971773,1.624024
1240221,2.129013
907071,5.5271
906765,0.797434
908443,2.218352
905933,1.603618
930082,1.621737
753576,3.071916
1331048,0.791583
924239,1.676721
949094,2.115755
905958,1.746765
1298350,-1.792715
1503370,1.239519
906830,3.984401
753623,1.840914
1290814,2.918223
908150,2.082544
924187,1.89112
909716,1.397747
1295740,0.903388
906801,2.683225
907792,1.630403
908442,-2.661626
908120,-4.218989
749712,1.724498
749716,-3.736595
909778,-3.030818
949093,5.355676
749713,2.389625
924106,1.643514
724838,2.815699
924186,1.850555
909723,3.514134
910568,2.778306
724873,1.563318
908128,2.415605
949179,1.790947
908156,-0.098809
688087,2.040089
908454,1.73827
909702,0.533516
908446,0.919911
910710,1.047809
687820,5.08693
1298349,2.064028
908472,2.318984
907317,0.869637
1299064,0.377401
1331050,0.845182
908462,1.156268
1240193,1.100426
909253,0.77883
687799,-1.650567
906808,2.13545
753561,-0.049109
909257,0.37549
753607,0.642361
688027,0.421662
1298529,1.919197
1330973,2.754473
1240199,2.983873
908441,1.774534
909699,0.398242
717431,2.375647
1322212,1.13137
909717,1.58375
907066,3.854296
908474,0.61793
930299,5.218017
688026,1.680031
908144,2.54582
909750,2.082771
908448,0.896483
907172,2.960932
1298168,2.816321
946358,1.746264
949090,1.774901
908145,1.626744
949158,0.452688
1240149,1.499261
909769,1.810997
687807,2.479467
910910,1.384646
910937,1.219793
1297439,1.078431
949172,1.575866
1240170,2.6927
687819,2.680708
1330964,2.252833
1298141,4.081201
925346,1.640546
910907,3.656782
909770,1.471646
1322224,0.853065
1290806,3.051885
1240129,2.663762
925343,3.586364
924250,2.075366
1298476,3.284398
908148,0.259119
