1559	3460
1640	4728
285	5853
4003	4269
4284	1233
133	132
2731	69
3203	5853
805	2754
5343	3382
6053	3499
1208	3559
986	2095
2110	4011
5027	5284
1692	2720
5968	2737
4758	4775
876	4721
2323	2520
1916	5873
5027	4002
3154	472
2622	2548
2753	4068
2743	4068
2472	4386
122	2659
4301	3548
4290	3022
4531	2883
5997	1959
2381	830
4189	1305
4352	4387
2097	527
338	5513
4382	3811
5684	2163
4533	4225
3643	3641
5703	3120
1202	358
1620	1619
4807	4766
2908	2749
2747	4293
4132	4720
5868	4367
5727	3212
5081	5177
5538	1183
3062	1676
2637	2603
1523	649
4293	4659
1577	2936
4356	837
1903	2856
3622	4346
5675	4097
311	4039
2305	2355
5993	2103
4750	4769
1992	748
4081	4292
837	213
4282	1907
2623	4619
5980	1633
4782	4774
5859	4354
949	4675
1475	3332
792	698
3329	4745
5179	4241
1480	2043
4368	4386
3822	3140
5832	4777
3566	4564
3231	3557
2236	2237
5245	597
4583	2268
683	3721
2778	2550
1610	4768
22	2383
3566	4661
3743	2886
1322	3474
753	4588
1560	2107
4843	3857
4440	788
3793	1260
3913	1876
4807	4775
2648	1729
3062	4008
1024	1037
5861	209
5994	1959
177	2719
5758	927
5288	5327
2550	3030
4766	4780
1208	519
1961	3547
3726	3091
1665	338
4181	751
1556	3182
4005	179
1865	5230
4375	1253
610	620
720	1275
4761	4790
4298	3479
4391	5861
124	2102
2749	5583
4807	4789
3740	6028
1705	6026
2736	83
5224	4665
6039	3918
3154	3138
5547	5928
1527	172
823	4801
6047	2032
3374	5508
4354	843
700	2818
699	3012
2742	2509
2478	1322
1916	1136
3103	4054
5832	4787
5169	1188
5482	2112
1522	3624
1627	4801
551	823
4284	4549
4387	4363
2522	5836
1997	5544
3146	3453
739	769
5134	4587
1207	859
792	4299
5193	5203
1880	4677
4399	1635
2376	2936
1905	4009
4392	2522
2743	5924
4282	4725
5296	5297
4574	607
3625	4601
674	1665
4793	4779
6004	3039
6049	4077
2100	105
3566	683
3821	3797
1793	1785
4728	4748
2024	2084
566	1790
5556	311
3136	2720
2099	802
3874	4142
3935	4473
4150	5134
3031	5924
1641	4729
807	805
3821	2203
66	454
883	6068
2101	2376
4766	1611
4754	4782
2766	4004
177	3548
1153	2302
1699	4003
421	1525
4282	1162
880	3494
5284	4423
2461	2591
3030	2
2285	4805
1844	4432
1757	767
133	986
3706	142
2602	735
2926	805
4343	285
4288	1262
338	3954
933	6008
3109	1799
2080	515
275	5945
698	2855
2539	4391
2654	5639
5630	5163
4040	3475
6042	4918
327	4515
1107	2730
2743	2753
4290	4291
717	4288
698	2736
1884	5406
866	1710
5698	4675
4861	3142
5963	1905
141	2107
338	5135
1133	3830
2647	5816
2709	2459
228	680
1022	1033
2648	2595
4086	1413
2858	5250
3382	910
1153	2339
3159	4039
1203	385
836	215
2668	4282
2778	876
945	4927
3648	2654
1166	6049
726	6022
3121	3108
3726	2029
3142	5753
2709	1556
804	792
782	4002
2321	4411
5829	4804
1907	2728
3329	4805
4798	4283
4377	553
5537	5539
1116	2941
4755	4736
4790	4773
1723	5153
890	4412
4354	4360
3573	6043
4093	1526
1699	3681
5007	2855
5612	2745
2181	2686
4663	5330
2968	5816
5942	1762
6021	1272
4246	837
3382	1222
5047	4982
1559	4515
2184	5284
3566	1165
4351	837
134	1272
4770	4806
4745	4788
5134	3855
4801	5151
1527	3156
5560	4007
4023	2219
1270	773
1598	4805
922	925
2375	2936
439	5538
3135	1854
1188	5020
3737	5195
6006	1960
4736	4779
