MARCKS	PKN1
CSNK1G1	ATP2B1
CDC14B	ANAPC7
ILK	PRKACA
JUN	CDK4
CFH	SELL
NPY	IL4
CRKL	ZAP70
CCL20	XCR1
MAP3K6	MAP2K6
NUP153	GCKR
MAPK3	TSC2
IRF1	EDN1
CD3G	CD247
CD19	PIK3CA
HERPUD1	PTGES2
UBA52	RPS7
FN1	ITGA10
MRPS7	RPS8
RPS6KA4	PRKACB
PSMD11	BTRC
TGFBR1	TGFBR3
COPS5	LDHA
RPL6	RPL23A
RPS3A	RPS17
ESPL1	SMC1B
CDKN1B	PTGES3
PSMA6	PSMB2
NINL	YWHAG
PLK1	DYNC1I2
ERBB2	NRG1
SH2B2	KIT
TNC	ITGB1
GRAP	INPPL1
RHOF	ST6GAL1
LIFR	TYK2
VIP	F3
XCL2	CXCR2
PPP3R1	CDC16
MYC	CTCF
SIK1	SFN
EDNRA	RAC1
GRB10	SRC
NGF	CRK
PSMA3	CDC16
ADRBK2	CXCR2
RPS15	RPS9
RPL34	RPS29
SMAD3	PAX6
RPS6KB1	SMARCE1
DYNLL1	MAPRE1
TIAM2	PIK3R1
PIP5K1B	GSN
CXCL9	CCR9
EIF1AX	RPS8
CEP152	CEP290
HLA-DRA	LCK
BAMBI	TGFBR2
MAPK1	FGF10
CSF1R	SH3GL3
NUP88	SNRPB
WNT8B	FZD2
RPL23A	RPS21
NKD1	JUN
ITGAE	CSK
HIPK4	ARAP1
LOC100290337	ERCC5
ANAPC1	ANAPC4
BDNF	CRKL
CACNG2	RASGRF1
PSMA2	PAAF1
NFKB1	VEGFC
RPS6KA1	RXRG
CBLC	NTRK1
UBE3A	PSME2
INPP5D	CD22
FZR1	AURKA
GAPDH	CREBBP
GATA4	EPHX1
ADRBK2	CCR6
PARK2	KIF11
WWP1	RNF11
LYN	HNRNPK
FGF10	IGF1R
NPHS1	NPHS2
SUCLA2	PARP1
MAP2	BRAF
ADAM17	CD40
NTRK2	NTF4
IFNGR1	CAMK2A
MAX	EIF2S1
TRB@	IL2RG
RHOA	SHC3
NEK2	HCLS1
YWHAG	CEP250
AR	RUNX2
UCHL5	ANAPC10
RPS4Y1	RPS8
RASGRF2	RRAS2
PRKAB1	ACACB
CLK2	ZIC4
CAPN1	ACTN3
IL2	CRK
TCF7L2	MYC
CLDN7	TJP2
BMP2	TGFB3
TRIP12	PSMB9
RPS6KA1	IKBKG
DYNLL1	AZI1
IL12A	JAK2
LCP2	MAP3K1
GPI	AMFR
SENP1	GAB2
ODF2	CEP57
CREB5	EP300
ARPC1B	ARPC4
MLLT4	RAP1B
FGFR1	FGF23
FGF19	FGFR2
TFDP1	CDKN2C
FYN	SNCA
CAMK2A	SYN1
CSNK1D	CTNNB1
