MAPK14	DUSP8
UCHL5	PSME4
SIRPA	TNF
BMX	UBE2A
PSMB9	PSMC3
PTEN	NOTCH1
CXCL11	MAP2K6
ITGB6	ACTN1
ZAK	NPPA
FTL	RPL5
CLASP1	SSNA1
MAPK3	DUSP6
CXCL12	CXCR6
TRAF2	CASP10
RPL11	RPS6
EIF2S1	RPS6
RPS6KA2	RBBP9
LOC652614	KLRC3
MYH7	MYL6B
YWHAG	PLK4
MAPKAPK5	ZEB2
RPL8	RPL21
PTPN11	LCP2
FGFBP1	FGF1
MAP3K5	MAPK10
CSNK1E	TUBB
PIAS2	STAT2
DCTN2	OFD1
IL17A	IL8
CDK6	ZYX
GNAI1	ADCY3
RUNX3	CBFB
STK17A	EBF4
FRAT1	GSK3A
RPL24	RPS26
TRAT1	PIK3R1
PDGFA	SOS1
SIK1	CRTC2
STAT5A	FOXP3
LPAR3	FPR1
PSMA3	PSMD7
IL17A	NFKB1
HLA-G	KIR2DS3
DCTN3	ACTR1A
RPL5	RPS5
PCNT	HAUS2
S1PR1	FYN
RPL7A	RPS4X
INHBB	NODAL
CBL	ITGA10
KLF4	IGHG3
CXorf15	CHUK
ITGB7	CRKL
CCL23	CXCR5
COL5A3	ITGA2
DLG4	ACTN2
SIPA1	RAP1B
NTF3	MAPK3
STXBP1	CPLX1
CCL8	CCR5
CTNND1	ZYX
HIPK1	PML
CSNK2A2	HNRNPK
EIF4A1	EIF4H
SNRPC	SNRPD2
TNF	WWTR1
EIF2S3	RPSA
NFKB2	IKBKG
CD3E	CD3G
IL6	SOS1
TJP3	ACTG1
ADAM9	ADAM17
HDAC1	STAT3
HLA-A	LAT
ASPH	JUN
STAT3	TNF
APPL1	RAB5A
PRKAR2A	GNB1
DAP3	TNFRSF10A
ROCK2	PPP1R12B
CDK5	IRF3
GRK1	CXCR5
CRKL	RICS
HDAC6	FGF11
SFRS2	SNRPC
HRAS	YWHAH
CTLA4	ICOS
TLR5	MYD88
PSMD5	ANAPC10
CAMK2G	CALM1
TUBB	MAP1B
CD40	TRAF2
IRF6	TGFB1
F2	F13A1
TSG101	CDKN1A
BAD	BCL2
HDAC1	RBPJ
MAPK3	SREBF1
FADD	CASP3
POLR2B	HDAC3
PSMA4	CKS1B
FGF4	SHC2
KLRG1	SYK
RPL24	RPS13
CBLB	PDGFRA
CISH	STAT6
CDC14A	FZR1
ICAM1	PLCG2
RPS10	EIF2S2
ABL1	DOK1
NEK2	HLCS
SMAD2	EP300
PTGS2	VEGFC
FGF21	FOS
PEA15	RPS6KA3
EEF1A1	SMAD2
LAMB3	CDC42
FYN	EIF4B
SOCS2	OSMR
RPL36	RPS10
ROCK2	PPP1CA
HIF1A	EGLN3
CCL21	CXCR1
RBL2	MYC
HLA-C	KIR2DS3
KLK2	SERPINE1
FOXO3	RBL2
MAPK11	KRT19
PIK3C3	MDM4
PRKACA	URI1
ACTG1	TMSB4Y
AGTR2	F2
SLC6A3	SNCA
LOC100291837	RPL21
PSMC2	PSMD5
TYR	MAPK8
HDAC6	EGFR
APC2	TBL1XR1
PPP1CA	PRKCE
PSMB5	PSMD8
JAK3	CCND3
PSMD2	PSMD5
BMX	PAXBP1
RPS25	RPL14
TIRAP	TLR4
NOV	NOTCH1
PGR	FASN
PRKAA1	MLXIPL
RAPGEF2	RRAS
UBQLN1	HSPB1
IGF1R	PRKACG
BARD1	UBB
BIRC2	FAS
GH2	GHR
HGF	IGF1R
NFKBIA	IL23A
RAPGEF1	MAPK8
MUC20	GRB2
ITGA4	ACTN1
CLDN5	ESAM
TUBA4A	TUBB
SREBF1	LRP1
YWHAQ	MAP2K2
FGF3	JUN
CYFIP2	ACTR3
TERF2	BLM
PLCB2	PRKCB
LYN	SHC2
NEK2	SRXN1
PIK3R1	MAPK3
CDC23	PTTG2
IL1R1	IL1A
GNAI3	TRB@
PPBP	CXCR6
ITGB3	CD47
PRKCG	SELE
NLRX1	MAVS
PRKCB	ACTB
DUSP4	MAPK1
HLA-A	KIR3DL1
SOCS5	EPOR
ROCK2	PPP1CB
ID1	MYOD1
EIF5	EIF3C
CNGA3	CNGB3
ROCK2	SHROOM1
RPS6KA3	HIST3H3
FLNC	ITGB4
SNW1	SMAD2
SHFM1	PSMB5
ITGB1	EZR
FGFR2	PTPN11
SHC1	PIK3CA
DYNLL1	CEP135
RPL3	RPS4Y1
CTLA4	PIK3R2
EGF	FLT4
CACNA1C	CACNA1E
PSMD9	ANAPC4
UBE2C	CDC27
RPL10	RPL18A
PRKCQ	RASGRP3
ANGPT2	STAT5A
MAPK11	ELK4
CBLB	IL3RA
POLD3	RFC4
PSMD13	CDC23
CAMK2B	STAT1
TGFBR1	RPS6KB1
AKT1	PIK3R3
YES1	EPHA2
CEBPB	HOMER3
KITLG	HRAS
FGF8	GRB2
FN1	SRC
DAG1	FYN
POMP	UBE3C
COL11A2	ITGA10
PIK3CD	EPS8
PRKAR2B	PTK2
F2R	PLCB1
RANBP2	SIP1
SNIP1	SMAD3
EP300	SMAD1
DYNLL1	PCNT
SKP2	CDKN1A
RPS4Y1	RPS11
CASP8	CASP6
YWHAQ	MST1R
IL3RA	TYK2
CHRM5	GNAL
RPSA	LOC100291837
CASP3	DFFA
NPPC	AVP
RPL41	RPL14
HMGB2	SET
FGF16	MAPK3
HLA-C	KIR2DS2
MAX	BCL2
NEK6	HLCS
PTPN11	KIT
RPSA	RPS4Y1
FGA	ITGB2
EIF5B	UBB
C4BPB	C4A
IL3	CSF1
TYK2	IFNAR1
POLR2B	RAP2A
ITGA6	YWHAH
ERCC3	GTF2H1
PSMA6	POMP
GSK3A	EIF2S2
TWIST1	HES1
DVL3	DAAM2
YWHAH	RASGRF1
BUB1	MYRF
MYB	KIT
YWHAH	MST1R
SUCLA2	CHAT
MAP3K7IP2	NLK
CXCR4	RAC1
EIF2S3	RPS23
MUSK	PAK2
DLG4	PLSCR1
SFN	YWHAZ
TNF	TGFB1
MAPK1	SMAD9
RPL3	RPS6
IL22	MMP1
UBQLN1	RAD23B
IFNA6	IFNGR2
EIF3K	EIF3G
RPL11	RPL39
ITGA2	ACTN1
CREBBP	TFAP2A
MST1	MST1R
RPL39L	RPS14
ADCY1	GNAS
CEP72	OFD1
MAP2K1	GLI2
FGF17	PLCG1
PRKCI	RPA2
NUP210	SRRM1
SMAD7	ERBB2IP
AKAP9	PKN1
ADRB3	ARRB2
NUP214	XPO1
RPL4	RPL6
GNAI2	PIK3CB
COL6A6	ITGA4
CCNE2	CDC26
AIP	APAF1
ZNF217	SAP30
CD3E	IFNG
LEF1	DKK4
LAMC2	YWHAB
ECE1	EDN1
CSF2	JAK2
THPO	NCKAP1L
PRKAR1B	COL1A1
TNFRSF1A	MAP4K5
PSMC5	CKS1B
PSMD4	UBQLN1
LPAR2	IL6
CACNA1D	CACNA2D1
CDK9	NEUROD1
RET	DOK1
CTDP1	GTF2H4
RPS3A	RPS9
NUP93	SNRPE
PSMB4	UBE2E1
RBPJ	GATA3
BCR	MTOR
WEE1	MCM2
PCM1	CP110
SPTAN1	PXN
CCL24	CCR7
RPS6KA2	SMAD3
PARVB	ITGA3
STK11	SIK2
MYL12B	ACTB
PRKCB	PLD2
RPL11	RPL28
CSF1R	EPS15
LAMA1	YWHAG
MAP3K11	CHUK
TYK2	GADD45B
AKT1	CCM2
EIF3E	EIF3K
NFATC1	FOSL1
PPP2R2B	MAP2K2
HSPB1	PSMD13
IL2	RHOA
RPL8	MAP3K14
GTF2F2	SMO
RPS11	RPS7
GAB1	FGF23
FKBP1A	PPP3CB
PSMD1	PSMD11
RPLP2	RPS17
CASP3	CDC6
PRKCA	PLD2
FGF21	IGF1R
FGFR3	GRB2
PER1	ARNTL
PRKAR1B	CSK
HLA-F	KLRC4
MAP3K7	MAP3K7IP1
PPP1R3D	CALML3
MCL1	BOK
PRKACA	RXRA
RPL11	RPS13
GTF2H3	XPC
ACTIN	MARCKS
PSMB10	IDE
SNCA	PSMD4
GAB2	RAP1A
PPP2R5D	PROC
PRKCE	PTPRA
TNF	PTX3
GNB3	PREX1
TSGA14	CEP63
NOTCH1	YY1
DYRK3	XPA
HSPB1	TGFB1
CXCL13	CCR9
CSNK1G3	CBL
E2F4	SMARCA2
PBK	GADD45A
PSMD6	UBE2D1
CD8B	GRAP2
SOCS7	IL7R
RPL38	RPLP2
WNT7A	FZD9
PDGFB	PIK3R1
ERBB3	PIK3R2
PRKCA	CHUK
SP1	MAT2A
CSNK1D	TUBB4
RBPJ	CCND1
FGF21	SHC3
CNTF	CRLF1
MTOR	RRN3
PSMC2	PSMD1
THBS4	ITGAV
GATA1	HBA2
JUN	TERT
GNB2	PIK3CD
TPR	MAGOH
NFYC	TGFB1
ADCYAP1	ADCYAP1R1
LCK	PRKCZ
PSMB9	UBE2C
PTPN6	ACTN1
PPP2R1A	CEP164
RGMA	MAP3K7
MAPK1	BRAF
BMP2	MAP3K7
NFYA	TERC
COL11A1	SDC3
PRKCA	ZHX1
PSMA5	TRIP12
SMAD7	ACVRL1
POU2F1	CDX4
RPL6	RPS9
PSMD6	PSMD7
POM121	NUP93
CHRM3	GNA11
MKNK1	MLX
ODF2	TUBB
MAPK14	TGFB1
CRP	THBD
MAP3K7IP3	IKBKG
PARK7	BAX
ADRM1	PSMA7
ANGPT1	MAPK3
PSMC5	PSMD9
INSR	SOS1
ITGB1	TLN2
ESRRA	MEF2C
RANBP2	NXF1
MAPK9	MEF2A
WNT3	RYK
PLAUR	ITGA8
THBS4	ITGA10
BARD1	NPM1
CALR	PPP1R15A
PSMA3	TCEB2
PSMB6	PSMD8
PF4	GNB1
IL21R	JAK2
GIP	GIPR
FZD2	DVL3
TBK1	YWHAE
CDC27	ZZEF1
CENPJ	CEP135
THY1	GRLF1
DOCK2	RAC2
RPLP1	RPS24
E2F3	YY1
RPL22	RPS12
MYB	MYC
GRK5	CCR7
PSMA5	PSMB10
RPS6KB1	PIK3CA
IFNA13	PSME3
CBLC	GHR
MYEF2	HDAC4
STK36	UBE2D1
GRK1	CCR10
LBP	NOS2
CEP78	CKAP5
RAF1	OTUD7B
BCL9	CDX1
IL23A	PIK3CA
EIF6	RPL6
TNFSF10	TNFRSF10D
NFATC2	CASP3
RBBP4	SMAD2
FLNA	PTPN12
HDAC6	HDAC5
HDAC7	RUNX2
SAA1	TLR2
PTPN11	KDR
SMURF2	ERBB3
DLG4	GRIN2A
TGFB2	EIF2A
NEK2	HSP90AA1
GAB2	PTPN11
PSMA1	ANAPC5
TANK	MAP3K1
HDAC6	HDAC10
SP1	FAT1
ALMS1	NDE1
ABI3	SOS1
TSC2	EIF4EBP1
IL5	STAT5A
SMAD2	SKIL
PNPLA2	VEGFA
PSMD5	PSMC4
EIF4B	EIF4E
FGFR3	MAPK3
CTNNB1	ID2
TRAF6	KDR
TRAF2	BID
POLR2J	GTF2H3
LIG3	POLB
CCL4	PRKAR1A
PPP1CC	GYS1
NTN1	DAPK1
TICAM2	IRF1
GLI2	WNT8B
INSR	PIK3R1
TNFSF14	TNFRSF6B
TRA@	CD247
RPL10L	RPL4
IL2RG	JAK2
GRB2	TUBA1A
MLLT4	TJP1
STYK1	CSRP3
MASP2	MBL2
LIPC	HSD11B1
FBXL5	FBXO31
RBPJ	HEY2
TNK2	UHMK1
IRF3	CD80
GDNF	NFKB1
GRK6	CXCR1
PKN3	ARHGAP26
EIF4A2	EIF4A1
SHFM1	PSMD13
FGF14	FGFR2
BCL2L11	YWHAB
RPL23A	RPS20
BMP7	ACVR2A
MYH13	MYL5
JUNB	IVL
PPP3CB	NFAT5
LY96	TLR4
MRAS	PIK3R3
PSMD9	RAD23B
IL22RA1	JAK1
SLC10A2	UBR1
RUNX1	HDAC2
TFDP1	APAF1
TGFBR2	PSMA6
TNF	SQSTM1
SDCCAG8	DCTN1
RPL4	RPL19
RPL26	FXR2
HFE2	MAP3K7IP1
NUP93	NCBP2
VEGFA	GRB2
AURKB	PER1
STAT6	CCND1
FGFR4	KLHL25
CD40LG	PTGS2
MAPK8	ZHX1
AR	GNAI3
RPL21	RPS4Y1
DDB2	ERCC3
CER1	WNT7A
FGF2	PARP1
WNT3A	APC
PLK1	ANAPC4
HIPK2	SMAD1
SHC1	PIK3R1
SOCS1	IL9R
SLC10A2	UBE3A
ITGA5	CRK
SMAD3	BTRC
MYH1	TRIM32
PRKCB	ARAF
GNAO1	PTK6
FYN	VLDLR
ROCK2	PPP1R14A
RRAS	PIK3CD
KDR	BCAR1
MET	GAB1
CCL2	CXCR3
HSPB1	PSMA4
TRADD	NSMAF
PSME4	PSMD12
CERK	RAF1
HLA-B	KIR3DL2
NR3C1	FGG
RPS6KA3	RPA2
SMURF2	KIT
BCL2	BCL2L11
SFRP1	FZD9
NFATC1	NR4A1
POLR2C	INTS3
CDK9	POLR2K
RPS6KB1	SHC1
GNGT1	PTK2B
WNT4	SFRP2
JAK2	GZMB
ERCC3	POLR2D
PPP3CA	PTPN5
CHP	CDC27
PPP2R1A	MAP2K1
FOS	CCL2
PAFAH1B1	CEP250
CASP7	LAMA4
PSMD1	UCHL5
TYK2	IL23R
UBR1	PSMB7
LAMC2	ITGB7
CD19	MAPK1
SIN3A	SUFU
SOCS3	IL6ST
GIT1	PPFIA1
PSMD2	PSMB6
NUP205	SNRPB
HES6	ASCL1
GAL	GALR3
MAP2K1	YWHAE
IL12B	NOS2
GNG2	PLCB2
CCL25	CCR3
RGMA	BMPR2
RPL21	RPS25
TP63	MFGE8
IGF1	RAF1
CCL7	CCR3
PSMA3	UBE2E1
NUP155	NUP210
RPL31	RPS17
SMAD3	AR
HCK	PXN
CEP290	CEP250
IRS2	PIK3R1
RELA	JUN
LAMB1	ITGA10
CEP72	ALMS1
PRKAA2	MLXIPL
PSMB10	CDC23
NUP98	SLBP
SGK1	CREB1
HIF1A	CITED2
HLA-A	CD8B
FGFR3	STAT5B
PSMB11	UBXN1
IL22RA1	TYK2
ATM	TP53BP1
SLC10A2	BTRC
ELANE	KNG1
FLNA	PAK1
SRC	DAG1
EIF5B	RPL7A
RIPK1	MAPK14
CDK5	DAXX
HES1	GHR
MAPK3	KHDRBS1
MYH9	MYL10
WASL	PDGFRB
CASP3	TGM2
FGF4	SHC1
ERBB3	SH3GL2
PSMC6	PSME4
GIT1	TCF7L2
PTK2B	UBTD2
SAP18	DLG1
MAP3K5	TNF
GNA13	VAV1
JUNB	CDKN2A
IL2RB	IL2
ESR1	TFF1
PPARA	RXRB
JUN	NFKBIA
CALM2	PDE1C
CBL	IL9R
RORC	EIF4EBP1
SLC4A1	CA1
FGF22	FOS
VWF	ITGA3
PDGFB	PAK1
MAP3K13	MAP2K7
SEMA3E	PLXND1
PTN	PTPRZ1
PSMD9	CDK2
RPS6KA5	SRXN1
NOG	BMP8A
PAK4	HMGN1
GHRH	KLK3
TGFB3	SMAD4
NUP98	NUP153
CLCF1	IL6ST
GRK4	CCR5
DOK1	CRKL
RPLP0	RPS5
STAT6	CCL17
YWHAE	TUBB2C
PRKACG	GNAS
PDE3B	PRKACB
ADRBK1	CCR8
GAB1	SOS1
FGFR1OP	CEP290
SOCS3	LEPR
GNB1	CD3E
HDAC4	SMAD4
PAK1	CSNK1G2
STK24	JAK2
TNF	MAPK3
CCNT1	NCBP2
PDGFRA	SOS2
SOCS2	IL2
COL4A3	PTK2
FGF2	SPP1
PSMB3	PSMD8
PIM1	MTA1
CASP7	CASP9
SRPR	SRP72
EPB41	CSN1S1
RANBP3	CCND1
ANK1	L1CAM
S1PR1	PDGFRB
NPR2	TIPIN
PSMB10	PSMC5
WNT3A	AXIN1
LYN	STAT1
TSPAN1	ITGA7
MDM2	ERBB3
DYRK1B	ZYX
F11R	MAGI1
UBA52	RPS29
CACNA1D	CACNG1
TYK2	PIK3CB
CD80	PIK3CA
RAC1	MAPK3
KIR3DL2	PTPN11
SERPINF1	PPARG
MAP3K11	MAP2K7
TUBA4A	ACTR1A
MAP3K1	TERC
TAF12	TAF6
XRCC1	LIG3
CSF1R	SH3GLB2
UBE3C	CDC20
CEP76	YWHAG
GNGT1	ASAH1
GLI3	BMP8B
EPHA2	NGEF
PSMD6	PSME3
SHC3	DOK1
HN1L	MYC
TBC1D20	RAB1A
H19	IGF2
PRKG1	TBXA2R
PLCG2	PRKCA
TCF4	TLE1
PKD1	NTS
RPL18	RPL14
MAPK11	RPS6KA4
SHC2	INS
CCL5	MMP9
RPL23A	RPS3
LOC646821	TJP2
POLA1	PRIM2
CACNA1E	CACNB4
PRKCA	GPBP1L1
PSMB3	PSMB6
CDK2	CDC27
IL4	LGALS3
BDKRB1	CFM2
NRAS	PIK3CA
TP53	MAP4K4
AKT1	POP7
PIP5K1C	ACTN4
CDX2	CTNNB1
MTTP	APOA1
EIF2S3	RPS8
LCP2	PTPN6
VIP	TLR2
RPS6KB1	RPS2
TLR2	RAC1
MYL5	MYL6B
JUN	CYR61
HDAC3	MYC
AP2S1	AP2A1
LAMA3	ITGA2
CBLB	KDR
ENPEP	CCK
MAPK9	BCL3
STAM2	JAK3
IGSF5	F11R
IL2RA	GAB2
EFNB1	EPHB6
CSK	CTTN
CBL	IL6ST
HMOX1	CCL2
TFPI	F10
ACTIN	IQGAP1
GTF2H1	POLR2K
PSMF1	PSMA8
PABPC1	PAIP1
RUNX3	RUNX1
CDC20	ANAPC10
CBLC	CRLF2
MYH11	CGN
VAV2	PIK3CA
CD8A	CD247
PRKCB	CARD11
FGFR1OP	YWHAG
UBE3A	HSP90AA1
IL6	HP
THOC4	NXF1
WEE1	CBL
E2F1	CCNA1
PSMC6	CKS1B
PRKCA	PPARA
ADRBK2	CXCR1
RPLP1	RPS26
RPA4	TP53
CD80	TRA@
RAC1	BRAF
IDE	CDC26
ITGB3	PLAUR
MYH4	CGN
DAXX	TGFBR2
MAPK3	CTGF
PSMD14	PSMD11
PTK2B	TSC1
TNN	ITGB4
SUCLA2	CDK5
IFNG	CALM1
ARHGEF12	RHOA
FZD5	GNAQ
NPPC	SERPINE1
MAP4K2	MAP3K1
TIFA	CHUK
CXCL16	IL15
EPO	JAK2
PIK3R2	PIAS2
IFNG	TFRC
PSMD8	CDC26
ATF2	HBG2
CXCL14	CXCR3
CIR1	RBPJ
IRF6	CD14
IFNA6	PSME1
RIPK3	NEUROD1
EFNA1	BCAR1
RBPJ	HEY1
EIF4G1	EIF4G3
MAPK7	MAP2K5
GNAS	ASAH1
GPHB5	TSHR
NUP98	XPO1
ROCK1	PIP4K2A
LAMB4	ITGA6
ADCY6	PRKACB
PARVB	ILK
CSF1	PF4
NGF	MAPK3
PRKAR2B	TUBB4
ABL1	MAPK8
MAP3K7	HIPK2
SLC9A3R1	SLC22A11
PIK3AP1	PIK3R3
CTNNA1	RHOA
IL18	GADD45G
RELN	ITGB6
STAT5B	APOA1
JAK2	STAT6
SOCS4	CNTFR
CDK7	PPP2R1B
RPL19	RPS6
NUP88	SNRPF
PPP2R4	MDM2
PAK3	MAP2K1
CNTN2	LIN7A
ITGB1	JAK2
MYLPF	MYH11
TNK2	CDC42
IGF1R	ARRB1
PSMA8	CDK2
CBLC	PIK3CA
DBF4	MCM4
PPP1R3B	CALML5
PSMB11	PSMB9
IL23R	CXCL1
SFN	LAMB3
GTF2E1	GTF2A2
RHOA	PKN1
ROCK1	MYOM1
ANAPC1	PTTG2
SMO	SUFU
SHC3	MAP2K1
GNB5	PIK3R2
GFRA1	CDH1
FBXW11	NFKBIA
HLA-A	KLRC4
IL32	MET
PCF11	NUDT21
RPTOR	EIF3E
GRPR	GNA15
SOCS2	LIFR
CDK8	E2F1
TRIB3	EP400
RAD23B	CUL5
JAM2	JAM3
NR3C1	POMC
RPSA	RPL22
PPM1B	MAP3K7
PSME4	PSMC1
USP6NL	RCHY1
DAPK1	CDKN2A
GSTM2	RYR2
TCF4	KLK3
OXSR1	EEF1D
WASF1	ABI2
AGTR2	CCL4
FLNA	ITGA5
SFN	CCNB1
UBE3C	RAD23B
WWP1	ERBB4
GRAP2	MAP3K1
COMP	ITGB4
TAF5	GTF2A2
ITGB1	PXN
PPARG	CX3CL1
PTK2	CRK
PRKCG	PLCD4
EIF3M	EIF3K
PRKCQ	ITGB2
NR1I2	FGF19
TP53	PYCARD
CXCL13	CCR3
C1QA	C1S
SYK	PIK3AP1
RPL18A	RPS11
RAB3GAP2	VAMP2
NCKAP1	ABI2
IFIH1	MAVS
PSMA3	ANAPC5
SAP18	NRIP1
PSMC3	PSMD5
SMO	GNAI3
CLK1	SRSF6
EGFR	KRT7
MAPK11	TP53
CSF2RA	CSF2RB
MAPK1	MAPKAPK3
ITGB8	ACTN4
PSMD5	UBE2E1
HSPB1	UBE2C
TRAF2	MAP2K6
FGF6	IL17RD
CDK6	BCL2
EXOC6B	UBQLN1
SIRT1	FOXO1
PSMD14	PSME2
NR3C1	NTS
CCL28	CXCR5
RPL5	RPL23A
TSGA14	ALMS1
MED1	KLK3
CCNB1	PRKACB
PRKAA1	MTOR
CCL14	CCR2
INADL	CLDN5
UBR1	PSMA3
PRKAB1	SLC6A8
FN1	PRKACA
FGF14	GAB1
BCAR1	CSF1R
PIK3CG	CSF1
NEK3	PRDM10
TUBB2C	CETN2
RPL21	RPS21
SPCS2	RPN1
MAPK3	PLAU
PTPN6	LAT
FGF9	SHC2
WNT8B	FZD8
CLTA	ARFGAP1
CASP1	TIRAP
CTNNA2	CTNNB1
CDH2	MMP9
CDC23	UBE2D1
TRADD	TNFSF10
RPS28	RPL14
PSMA1	UBE2E1
EIF5	UBC
TRIP12	PSMA4
FOS	AKR7A2
GNG12	FGD1
RPL19	RPS28
PRKD1	VASP
EIF3L	EIF3J
CHUK	NFKB2
SPP1	ITGA2
CDC26	HECTD3
PPM1A	CACNA2D1
PPP3R1	NFATC4
NEDD4L	MET
PSMA6	UBE2C
B2M	LAT
INTS3	SMAD3
MDM2	ARRB1
HDAC9	LEF1
HDAC3	SMAD3
CSK	ITGB1
NPR2	PSMA6
B2M	VAV1
PSMB10	PSME3
PSMD4	CDK2
STK38	MAPK7
GNAI3	PIK3CD
FGFR1	PGR
PLK4	DCTN1
NCSTN	PSENEN
SFRP4	FZD8
GNA13	ARFGEF2
ARAF	SFRS1
KSR1	YWHAG
F2	F5
ITGAM	RHOA
COPS5	CREB1
ID1	TCF4
S1PR1	PIK3R1
GTF2H3	GTF2E1
NUP98	SNRPD3
CCNE1	ANAPC10
PDGFRA	PLCG2
TUBB2C	CP110
DLG4	GRIK1
GRB14	SGK1
ILK	LIMS1
AURKB	CENPA
IFNA4	PSME1
SRCAP	CREBBP
PSMB6	PAAF1
TNFRSF9	PHGDH
PDGFB	LYN
IFNG	CTSL1
GCG	GCGR
ARAF	SNRPE
EPO	GRB2
MAP2K1	MAPK1
IL20	IL20RB
GSK3B	SNRNP70
PROCR	PROC
PPP3CB	MEF2D
PIK3R1	AKT3
FGF1	PIK3CA
BUB1B	UBE2S
NUPL2	SNRPD1
GNAI2	TRB@
NUPL2	RNPS1
ISG15	NOS2
SH3GL2	ARRB1
JAK1	CAMK2D
SP1	SMAD7
TGFA	EGFR
IL18RAP	CCR5
IFNE	IFNAR1
HSPB1	UCHL5
PSMA7	BTRC
ANAPC11	BUB1B
PKN1	HLCS
PRKACG	PPP1R1B
ITGB5	CSK
NFATC1	IL5
CALML3	MYLK2
CNR1	CACNB4
CHP	NFATC2
ITGAV	ACTN3
ELK1	TCF7
STX1A	CACNB1
NFKB1	LIN28
BCR	YWHAQ
PTPN6	BTK
PRKCA	STAT5B
PSMD3	PSME2
GTF2H2	POLR2J
CDC42BPA	MYOM1
PSMD10	ANAPC7
PRKCI	ABI2
ESR1	OXTR
FANCB	HES1
FZR1	UBE2S
ATF1	TP53
IRS1	PRKD1
PSMD1	SKP1
FGFR3	SHC3
ITGB6	THY1
MAP3K1	MAP2K3
IL2RB	PRKCZ
FLT4	PXN
IL2RA	IL2RB
ITGA7	CRK
NR4A1	RXRG
IL7R	CRLF2
TUBB2C	PLK4
IKBKG	IRF7
PYCARD	BAX
TYK2	MTA1
CLK2	XPA
PPP2R5D	PRKAR2B
PSMD2	ANAPC10
NEK4	MXD1
FGF14	PIK3CA
AGT	CCR5
DLG4	SHC1
EGF	INSRR
SUPT4H1	POLR2K
PTPN11	AKT1
CAMKK1	PSPC1
SORBS1	MYH11
CPSF7	PCF11
XPA	ERCC5
KDELR3	COP
PSME2	PSMD13
LAMB4	PIK3R1
PSMA8	PSMD2
PTPN6	CD3G
NOS2	CALM2
PSMA8	RAD23B
IQGAP1	ACTG1
CLDN11	TJP1
CRKL	CBL
TUBG1	TUBA1A
CD8B	VAV1
CD247	LCP2
MS4A2	PLA2G4A
CCL16	CXCR3
CAMK4	CREM
CEP152	TSGA14
PRLR	STAT5A
CSF2RA	JAK3
RBBP8	BARD1
LAMA3	ITGA8
BMX	GPD1L
CACNG8	CACNB4
MAPK8IP3	MAPK9
RGS9	PDE6B
LAMB4	ITGB8
ERBB4	PIK3R3
BMP4	SMAD1
BUB1B	ANAPC7
SHC3	TEK
HIF1A	PDK3
RPL10L	RPS13
PDPK1	MDM4
PLCG1	STAT5A
AR	POU2F1
POMP	ANAPC11
PPP3R1	ANAPC2
PSMB7	SKP1
SLC18A3	SNAP25
PFN3	ACTB
ITGA3	TLN2
CAPN1	ITGB8
EGFR	ARF4
PRSS2	F2RL3
NFYA	NFYB
RPS28	UBA52
MCM6	ORC4L
PAWR	GNGT1
ERCC5	LOC100290337
PSMA3	UBE3C
FGFR2	PNCK
CDK2	UHRF2
KIR3DL2	PTPN6
CCR5	ARRB2
CCL17	CCR6
MRPS7	RPS14
RPL23A	FXR2
SMAD4	PITX2
RET	MAPK15
CASP1	EIF4G3
POLR2K	POLR3E
RCC1	POM121
TGFBR2	TGFB1
SOCS1	CRKL
NPY	MAPK1
KAT2B	IFNB1
LOC100291837	RPL41
TGFB1	CDKN1A
ATP6V1B1	WNT3A
ITGA3	ITGB8
JUNB	SMAD4
IFNA14	IFNAR2
ITGA7	ITGB1
UBXN1	FZR1
PSMB1	IDE
CEP135	CP110
CYBB	NCF4
RPL5	RPL24
GSK3A	MAPT
PSMB2	UBE3A
RB1	CCNA2
ELANE	ICAM1
RPS26	RPS29
GTF2H4	GTF2F2
GTF2H1	TAF6
PRKG1	TNNI1
RRAS2	PIK3CA
ERBB3	SOS1
BMPR1B	DNAJB2
TJP1	CLDN10
CRH	MC2R
LRP6	TLE1
NRBP2	SOX10
FGF3	PLCG1
EP300	STAT1
RAC2	CYFIP2
CD3G	TRA@
THBS4	ITGA3
SST	PIK3CG
STX1A	CACNA1D
MAGI3	VANGL2
HBA2	RPL8
PRKCA	PLAA
CD33	PTPN6
CASP9	CASP7
MAPK12	MEF2D
LFNG	NOTCH4
RASGRF2	RRAS
PSMD12	PSMD10
ACVR1	SMAD9
TLN1	CRKL
IGBP1	ATP1B3P1
TNNI3K	PRDM10
JAK3	NMI
ITGB3	ARF6
CLDN19	CLDN14
SLEB3	FAS
CETN2	CEP250
ARF6	MAPK1
PSMD5	CDK2
WEE1	KHDRBS1
FOXM1	ETV5
FGFR3	JUN
PRKCA	DAG1
LCK	SOCS3
PRKCD	ARID3A
STAT3	ALK
PCM1	TUBG1
CSF2	SMAD2
COL6A1	ITGB8
NGF	SH2B2
LCK	CD33
CASP6	ALOX5
UBE2S	ANAPC5
CTNNB1	TCF4
CSNK1E	CEP135
MYH4	MYL4
FYN	ITGB2
SNF8	VPS24
RAC1	ACTN3
MAX	FTH1
CCND3	CASP2
SRA1	ME1
CREBBP	MYC
LYN	PTPRC
TNN	ITGA7
ITGA4	ITGB3
LCP1	FGA
PDGFRB	SLC9A3R2
FANCD2	FANCG
BRAF	KSR1
PRKACB	CREB3L1
CD86	PIK3CA
ARHGAP1	PRKCA
TAOK2	MAPK8
ESR1	PPM1D
